nrep,#hops,D_nonhop (mean),D_nonhop (SE),D_hop,D_tot
1.0,31.0,0.9360888091833505,0.0,0.176658764157702,1.1127475733410526
2.0,57.0,0.8058267444313783,0.09210918931748073,0.1672256442253246,0.9730523886567028
3.0,89.0,0.7861938306825306,0.06346400453145093,0.18122268175171075,0.9674165124342413
4.0,104.0,0.7659008158103909,0.050738789569546014,0.15719321773466302,0.9230940335450539
5.0,114.0,0.7564299168287831,0.04146553017730228,0.1401271103253381,0.8965570271541212
6.0,130.0,0.7445903691215617,0.0362054329561287,0.13559742887744738,0.8801877979990091
7.0,143.0,0.7366771703029548,0.03188627353972685,0.13255254777984143,0.8692297180827961
8.0,152.0,0.7330718502444835,0.028103573561918015,0.12224180868159805,0.8553136589260816
9.0,167.0,0.7323409236632118,0.024990457553858602,0.11895113005779502,0.8512920537210068
10.0,179.0,0.7325385455904896,0.022492193171676382,0.11577369399659479,0.8483122395870843
11.0,201.0,0.7333323818999197,0.02046145231604166,0.11666287484654014,0.8499952567464598
12.0,223.0,0.7356511803740182,0.018887263458453152,0.11921698159501415,0.8548681619690324
13.0,241.0,0.7370333866802563,0.017484900150519987,0.11893990712790856,0.8559732938081649
14.0,267.0,0.7379795890059432,0.01626156061497044,0.12163995522770737,0.8596195442336505
15.0,280.0,0.738363956584734,0.015181998460723213,0.11803710314762825,0.8564010597323622
