nrep,D_mean,D_std,D_se
1.0,0.24832576826220756,0.0,0.0
2.0,0.15571939251858524,0.09260637574362234,0.06548259626942475
3.0,0.625338315031211,0.6684318653755359,0.38591931740948937
4.0,0.5773597534875683,0.5848133856970574,0.2924066928485287
5.0,0.6900668046335379,0.5695760479378017,0.2547221523089207
6.0,0.568670184248817,0.5865433424091787,0.23945531682150747
7.0,0.5777402221537123,0.5434879036406853,0.20541911908644128
8.0,0.5229096773391664,0.528678951955625,0.18691623599920967
9.0,0.48027503368618263,0.5128229928938228,0.17094099763127427
10.0,0.42569115456639467,0.513325704182435,0.1623278406726316
11.0,0.3876779371532412,0.5039826207803464,0.1519564776353074
12.0,0.3708885685881571,0.4857289920756884,0.14021788216405218
13.0,0.3505854607462575,0.4719434100894024,0.13089355109189765
14.0,0.3250364841415751,0.4640118615831514,0.124012386388809
15.0,0.3096515282284695,0.4519590283814221,0.11669531933928887
