nstep,msd_oh,msd_ohx,msd_ohy,msd_ohz
1,0.0,0.0,0.0,0.0
2,0.006677437914062611,0.0036722969762704046,0.0010557956988600957,0.001949345238932111
3,0.0374797446198403,0.018070368295644887,0.012107976314062489,0.007301400010132921
4,0.0960813422729394,0.042364947406600906,0.03983835563643037,0.013878039229908113
5,0.17448637464878852,0.07244552833098485,0.08285206133131562,0.01918878498648808
6,0.2516315874856261,0.09593786404502425,0.12886080345129688,0.02683291998930494
7,0.2956471466299049,0.09194211369537636,0.16340544205867213,0.04029959087585641
8,0.30852312972052676,0.07726639804235544,0.16668155135291038,0.06457518032526093
9,0.311770771304693,0.06763921888666799,0.1430873228803225,0.10104422953770248
10,0.3203992994434932,0.06989882542849944,0.1177231202504809,0.1327773537645129
11,0.337153742696565,0.09718577426846894,0.10996612060995993,0.13000184781813612
12,0.364270342948303,0.14773622260608993,0.12043583153459556,0.09609828880761757
13,0.4219609178394873,0.1922705246887568,0.16086779749555835,0.06882259565517214
14,0.49703205734039496,0.20965856333261434,0.22625575571898018,0.06111773828880045
15,0.5647167321191345,0.2169018248198399,0.2864017805877362,0.06141312671155845
16,0.6008142424473298,0.22163648243846562,0.31988869981596163,0.05928906019290255
17,0.6100314283620234,0.22120478726025675,0.33531413168792257,0.053512509413844084
18,0.6267258453592948,0.2307541551913126,0.3388445429226025,0.05712714724537965
19,0.6649857773637308,0.2769463774233026,0.3202287192450025,0.06781068069542565
20,0.6732128819591041,0.3464941534972512,0.26505281195583996,0.06166591650601289
21,0.641316162354669,0.40292338062525124,0.2112101273505609,0.02718265437885688
22,0.621394297299322,0.42111720528799335,0.1978780437745224,0.0023990482368063983
23,0.6188826076449253,0.4032943449811596,0.21433647085411686,0.0012517918096489002
24,0.6172952896869562,0.3811439388764737,0.23046186655251363,0.005689484257968896
25,0.622263872595155,0.3776614518755556,0.23580245546550258,0.008799965254096898
26,0.661857382314089,0.40051710829892373,0.2528726249019363,0.008467649113228904
27,0.7091831418098523,0.42585675398053996,0.28063193698370237,0.0026944508456100014
28,0.7263030785777114,0.4296646230220864,0.29657603528520243,6.242027042250102e-05
29,0.7001831096481458,0.4103302323736573,0.2839648672029316,0.005888010071556921
30,0.6601716465123443,0.37637793097239014,0.2707253161875441,0.013068399352410014
31,0.6421070068780278,0.3459894276989954,0.28004172800229604,0.016075851176736395
32,0.6474966310733727,0.3421501240959999,0.28661556544471195,0.01873094153266088
33,0.654371759627924,0.37001600631814785,0.25350118319078013,0.030854570118996102
34,0.6478725928934257,0.3989119029637726,0.19605987572652012,0.052900814203132945
35,0.6083067963453366,0.3950480376005409,0.1439619343443856,0.06929682440041003
36,0.5448380394588186,0.3708352167930078,0.10418210612260087,0.06982071654320998
