Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz,pred_msd_xx,pred_msd_yy,pred_msd_zz,xx_error,yy_error,zz_error
1.0,0.01,0.005110512103404417,0.0015281305624159226,0.0026397436656356815,0.0023595853667922697,0.0013856381357312253,0.004493543091651268,-1.3952268612835381,0.9902587294555789,2.540826559433786,1.4003373733869426,-0.9878991440887867,-2.5363330163421347
2.0,0.02,0.013795895391135453,0.0031689547854792284,0.005398279413854917,0.007506257200312898,0.003010574602060864,0.013026662638774866,-1.3566133558109792,1.0017327121802606,2.542262055504686,1.3704092512021147,-0.9942264549799477,-2.5292353928659113
3.0,0.03,0.025906947586163152,0.005130145103045329,0.008660995828504025,0.014530058005345608,0.004890159358647404,0.02430475752342739,-1.3179998503384203,1.0132066949049423,2.5436975515755864,1.3439067979245833,-0.9986766368995967,-2.519392794052159
4.0,0.04,0.03674958771383805,0.006332807229149243,0.01035229529958538,0.021713418879045446,0.0065701338458336025,0.03692749000938366,-1.2793863448658613,1.024680677629624,2.5451330476464866,1.3161359325796993,-1.0029672587505785,-2.508205557637103
5.0,0.05,0.05589902620588732,0.010442083555257706,0.01586683940739923,0.03112276366470988,0.008862392421982163,0.05226206582467884,-1.2407728393933022,1.0361546603543057,2.5465685437173864,1.2966718655991896,-1.005031896689596,-2.4943064778927075
6.0,0.06,0.06648688419993987,0.011578564495334679,0.016288027580983105,0.0397781545526296,0.009540617870628381,0.0669945895419713,-1.2021593339207433,1.0476286430789874,2.5480040397882866,1.2686462181206832,-1.0078504885263577,-2.481009450246315
7.0,0.07,0.08600922523033364,0.015920894841056975,0.021955772545891955,0.052017398019235744,0.01446300068705542,0.08513862364449797,-1.1635458284481843,1.059102625803669,2.549439535859187,1.249555053678518,-1.0070852277844333,-2.464300912214689
8.0,0.08,0.10167222355008343,0.019559369209386303,0.024539861712910747,0.0582328803728712,0.014534462127403322,0.10334565829200089,-1.1249323229756254,1.0705766085283508,2.550875031930087,1.2266045465257087,-1.0123437281554797,-2.447529373638086
9.0,0.09,0.11759482138245579,0.016665326312788574,0.027773883545425742,0.07307124866773826,0.018072139393811294,0.12099435291139532,-1.0863188175030665,1.0820505912530325,2.5523105280009872,1.2039136388855223,-1.0089793425852942,-2.431316175089592
10.0,0.1,0.132344498548316,0.01877447758777727,0.02600951007430835,0.07729722770350998,0.01935792777533042,0.14255963204397568,-1.0477053120305075,1.0935245739777142,2.5537460240718874,1.1800498105788235,-1.0162273462742042,-2.4111863920279117
11.0,0.11,0.1568288724610857,0.028378885036348715,0.02509732253745961,0.09423074837592112,0.01859171872488949,0.16264582493147817,-1.0090918065579486,1.1049985567023959,2.5551815201427877,1.1659206790190344,-1.0107678083264748,-2.3925356952113095
12.0,0.12,0.16567173145964223,0.02019975285162292,0.029249585147987162,0.09710340879065989,0.014038275803875238,0.19390043886403324,-0.9704783010853897,1.1164725394270776,2.556617016213688,1.136150032545032,-1.0193691306364177,-2.3627165773496546
13.0,0.13,0.19492656426669552,0.03208155562543929,0.029858262272695956,0.12189873220815942,0.02581988728922548,0.19967176717245344,-0.9318647956128306,1.1279465221517593,2.558052512284588,1.126791359879526,-1.0060477899435998,-2.3583807451121346
14.0,0.14,0.21217422659855664,0.028839553370497702,0.023898539826742008,0.13011551224630197,0.02548355904445435,0.21244407739614557,-0.8932512901402716,1.1394205048764412,2.5594880083554883,1.1054255167388283,-1.0093049926301392,-2.3470439309593427
15.0,0.15,0.2343109130101418,0.03421717036245158,0.042275394806816045,0.15657501046078814,0.03373491242775817,0.24069844596361623,-0.8546377846677128,1.150894487601123,2.560923504426388,1.0889486976778546,-0.9943194771403348,-2.3202250584627717
16.0,0.16,0.2538763978930239,0.040879917740678506,0.03428681534006024,0.17089126203338123,0.02753710960434528,0.26981962534387516,-0.8160242791951537,1.1623684703258046,2.5623590004972883,1.0699006770881776,-0.9914772082924234,-2.292539375153413
17.0,0.17,0.27226016598001057,0.027391269134422205,0.023034605168363708,0.17346478261985895,0.030151435266304375,0.294991027837302,-0.7774107737225947,1.1738424530504863,2.5637944965681885,1.0496709397026054,-1.0003776704306273,-2.2688034687308862
18.0,0.18,0.315468118082216,0.021737037328740487,0.022402062918244668,0.16988127064879643,0.02878957250872952,0.31182505484473994,-0.7387972682500359,1.185316435775168,2.5652299926390887,1.054265386332252,-1.0154351651263716,-2.2534049377943486
19.0,0.19,0.3468544195530289,0.04348702236921889,0.045192941244223454,0.2142385879910873,0.0345215309807519,0.3593701189042911,-0.7001837627774768,1.1967904184998497,2.566665488709989,1.0470381823305057,-0.9825518305087624,-2.207295369805698
20.0,0.2,0.2668178535741861,0.030593070026849273,-0.020897882915693305,0.2070252369991611,0.023573597840228805,0.3679529841848478,-0.6615702573049179,1.2082644012245314,2.568100984780889,0.928388110879104,-1.0012391642253702,-2.2001480005960414
21.0,0.21,0.32065249978169463,0.0383860117478652,-0.001702632037317958,0.2129163121653306,0.021827688970915693,0.39713009789686465,-0.622956751832359,1.219738383949213,2.5695364808517893,0.9436092516140536,-1.0068220717838825,-2.1724063829549247
22.0,0.22,0.461247394258609,0.05204142546101886,0.03552160084008799,0.24430215110738548,0.026427006332429892,0.4416471011338619,-0.5843432463598001,1.2312123666738948,2.5709719769226895,1.045590640618409,-0.9869102155665093,-2.1293248757888277
23.0,0.23,0.330147810798274,0.00991164041633143,-0.03854491032640644,0.2316219030172708,0.007009957989668073,0.40625879622278654,-0.545729740887241,1.2426863493985765,2.5724074729935897,0.8758775516855151,-1.0110644463813057,-2.166148676770803
24.0,0.24,0.4571543849122489,0.05764600948781219,0.017946066543957008,0.29904558269991294,0.038949119366664266,0.5080671301922559,-0.5071162354146822,1.2541603321232582,2.57384296906449,0.9642706203269311,-0.9551147494233452,-2.0657758388722343
25.0,0.25,0.36693171345038056,0.038272183631179624,-0.028405232966458742,0.31106338210406365,0.05793590521337634,0.4778475569417574,-0.46850272994212316,1.2656343148479399,2.5752784651353897,0.8354344433925037,-0.9545709327438763,-2.0974309081936324
26.0,0.26,0.602000559280131,0.07829064727409381,0.03914037748886473,0.30725890964896024,0.04041375180713446,0.6241499412096443,-0.42988922446956424,1.2771082975726216,2.57671396120629,1.0318897837496952,-0.9698493879236614,-1.9525640199966456
27.0,0.27,0.49412981137382045,0.03868356958957529,0.046567166347578556,0.30951394739767457,0.06089884226710896,0.584047058643531,-0.3912757189970051,1.2885822802973033,2.57814945727719,0.8854055303708255,-0.9790683328996287,-1.9941023986336592
28.0,0.28,0.4306460627274273,-0.024606423839714023,-0.06193465502910511,0.32813430638999186,0.046300044726445576,0.5759301784375821,-0.35266221352444616,1.300056263021985,2.5795849533480903,0.7833082762518735,-0.9719219566319931,-2.0036547749105083
29.0,0.29,0.5982918411765192,0.00920196790790984,-0.0024938521036213376,0.33642901574511,-0.008140018057624602,0.6220470312180598,-0.31404870805188745,1.3115302457466667,2.5810204494189906,0.9123405492284067,-0.9751012300015567,-1.9589734182009306
30.0,0.3,0.5554314781581813,0.017575648794541356,-0.0674158925183604,0.33480599981310183,-0.031146664332153077,0.5024917604838515,-0.2754352025793285,1.3230042284713484,2.5824559454898908,0.8308666807375098,-0.9881982286582465,-2.0799641850060393
31.0,0.31,0.5687972474229912,0.005394987805972303,-0.061400096456315674,0.3728257360649858,0.006900825787776929,0.662371862218343,-0.23682169710676937,1.33447821119603,2.583891441560791,0.8056189445297606,-0.9616524751310442,-1.921519579342448
32.0,0.32,0.6839774433715354,0.10221558392074122,0.0712763660206309,0.38272130942357835,0.049156390959227005,0.642021331579052,-0.19820819163421044,1.3459521939207117,2.585326937631691,0.8821856350057459,-0.9632308844971333,-1.9433056060526392
33.0,0.33,0.70446333182461,0.0344182059747847,-0.049190992509419634,0.3582500034084834,0.022315593957289766,0.7264199065991226,-0.1595946861616515,1.3574261766453937,2.5867624337025914,0.8640580179862615,-0.9991761732369102,-1.8603425271034688
34.0,0.34,0.5888559211229036,-0.006701262753476219,-0.06855267148377765,0.46237950990894194,0.02361652718815874,0.7550617310194758,-0.12098118068909236,1.3689001593700754,2.5881979297734916,0.709837101811996,-0.9065206494611334,-1.8331361987540158
35.0,0.35,0.49503916278592464,0.02428948172950751,-0.05820460266306114,0.4121101809583659,-0.05501430130867535,0.6185377349001555,-0.08236767521653365,1.3803741420947568,2.5896334258443914,0.5774068380024583,-0.968263961136391,-1.9710956909442359
36.0,0.36,0.7013389709735984,0.04313045341462658,-0.016502958930595862,0.4786255091502819,0.009347542062161382,0.7394732764951577,-0.043754169743974725,1.3918481248194385,2.5910689219152916,0.7450931407175732,-0.9132226156691566,-1.8515956454201339
37.0,0.37,0.8415828433089361,-0.032526989780095016,-0.07576366320917859,0.4367841352614442,0.0252341061529103,0.8291688164505565,-0.005140664271415796,1.4033221075441205,2.592504417986192,0.8467235075803519,-0.9665379722826762,-1.7633356015356352
38.0,0.38,0.6270264052430599,-0.002213379987360341,-0.09599602671880852,0.4974092483057359,-0.04044257625616447,0.9123494517214825,0.033472841201143355,1.4147960902688022,2.593939914057092,0.5935535640419165,-0.9173868419630662,-1.6815904623356095
39.0,0.39,0.6934894207952169,-0.005984648606472369,-0.1430767670285812,0.5015601739815853,-0.07146445391555352,0.8461830763408961,0.07208634667370228,1.4262700729934839,2.595375410127992,0.6214030741215146,-0.9247098990118986,-1.749192333787096
