step,o_index,x,y,z
221.0,433.0,9.99919274,4.918398569999999,0.48106615
222.0,433.0,10.00677703,4.91117139,0.46684624
223.0,433.0,10.01890777,4.8911078,0.43906069
224.0,433.0,10.04420803,4.867966299999999,0.3841854
225.0,433.0,10.09517974,4.85965732,0.33212675
226.0,433.0,10.14809614,4.854476139999999,0.28612726
227.0,433.0,10.16707952,4.85136088,0.23653648
228.0,433.0,10.16220376,4.861551839999999,0.21058429
229.0,433.0,10.1832448,4.87484972,0.20325345
230.0,433.0,10.26272469,4.885871529999999,0.19873549
231.0,433.0,10.35510914,4.899834369999999,0.19956832
232.0,433.0,10.40311005,4.90655808,0.22369867
233.0,433.0,10.39357608,4.9073391,0.27643771
234.0,433.0,8.18698227,6.33587807,-0.97890829
235.0,433.0,8.19125249,6.37786309,-0.97123408
236.0,433.0,8.19086674,6.41672313,-0.9640249
237.0,433.0,8.1802912,19.83932144,-0.94835418
238.0,433.0,10.30502997,5.01890579,0.5271928
239.0,433.0,10.35315609,5.042363929999999,0.53297118
240.0,433.0,10.38313087,5.061677569999999,0.49043364
241.0,433.0,10.42177022,5.07933059,0.42723806
242.0,433.0,10.46365827,5.090964789999999,0.36518466
243.0,433.0,10.4533625,5.088045469999999,0.30470928
244.0,433.0,10.3872782,5.07573212,0.29525181
245.0,433.0,10.33886673,5.051217529999999,0.3388876
246.0,433.0,10.37186367,5.06504101,0.37410672
247.0,433.0,10.44168764,5.07715022,0.40749324
248.0,433.0,10.48249734,5.063274659999999,0.43312504
249.0,433.0,10.47953627,5.039978639999999,0.40844022
250.0,433.0,10.45063729,5.014078869999999,0.35844634
251.0,433.0,10.43592489,4.96764892,0.29622485
252.0,433.0,10.44160669,4.91360862,0.23264256
253.0,433.0,10.46178755,4.905241839999999,0.15375487
254.0,433.0,10.47752848,4.927536249999999,0.08749276
255.0,433.0,10.4967022,4.93246315,0.06961116
256.0,433.0,10.51135839,4.89137504,0.06837461
257.0,433.0,10.51377404,4.84739368,0.07945566
258.0,433.0,10.5031521,4.82296004,0.1074188
259.0,433.0,10.49258658,4.83017042,0.17553808
260.0,433.0,10.45259663,4.86729766,0.25194014
261.0,433.0,10.38113306,4.9162195099999995,0.32695014
262.0,433.0,10.33807106,4.939864589999999,0.39654519
263.0,433.0,10.3202285,4.91493869,0.45686141
264.0,433.0,10.32688176,4.87507802,0.47477121
265.0,433.0,10.31246551,4.862180729999999,0.42861174
266.0,433.0,10.27943973,4.87521982,0.34431886
267.0,433.0,10.26348376,4.88266649,0.24353155
268.0,433.0,10.29630484,4.87230606,0.14537418
269.0,433.0,10.38213526,4.88222107,0.06783857
270.0,433.0,10.45330197,4.946833309999999,0.01437564
271.0,433.0,10.46739022,5.043738679999999,-0.01096692
272.0,433.0,10.41283162,5.112661249999999,0.01387705
273.0,433.0,10.32702498,5.09283905,0.09376189
274.0,433.0,10.23002041,5.00627242,0.17478049
275.0,433.0,10.1159952,4.92412019,0.23098347
276.0,433.0,10.00124272,4.88914585,0.27171808
277.0,433.0,9.92784033,4.863866829999999,0.32766079
278.0,433.0,9.90447059,4.826099379999999,0.37212931
279.0,433.0,9.88018413,4.781772589999999,0.39412281
280.0,433.0,9.82728648,4.761366879999999,0.4077314
281.0,433.0,9.76724153,4.76162474,0.41718159
282.0,433.0,9.7350966,4.782505559999999,0.44257864
283.0,433.0,9.7176735,4.794484539999999,0.47603482
284.0,433.0,9.70892987,4.804658419999999,0.52737942
285.0,433.0,9.7038755,4.820544609999999,0.56927295
286.0,433.0,9.67822691,4.81729603,0.59496445
287.0,433.0,9.62742382,4.77360047,0.59955972
288.0,433.0,9.58538033,4.70669058,0.61180728
289.0,433.0,9.56789248,4.63179326,0.62004017
290.0,433.0,9.58030782,4.557264419999999,0.62806023
291.0,433.0,9.59045608,4.52827022,0.62291036
292.0,433.0,9.57750939,4.57335535,0.59751236
293.0,433.0,9.58900112,4.6460272499999995,0.56014065
294.0,433.0,9.6364836,4.669224979999999,0.53533432
295.0,433.0,9.67672686,4.59710411,0.52628085
296.0,433.0,9.69385477,4.50232851,0.53656495
297.0,433.0,9.71066138,4.419100389999999,0.54289905
298.0,433.0,9.73277152,4.361096589999999,0.5226069
299.0,433.0,9.75309343,4.361321559999999,0.51120259
300.0,433.0,9.73935362,4.39781934,0.49593367
301.0,433.0,9.72174274,4.44378049,0.48991277
302.0,433.0,9.71161171,4.49449431,0.49315819
303.0,433.0,9.69685715,4.536672249999999,0.48601023
304.0,433.0,9.6779209,4.588217369999999,0.46569865
305.0,433.0,9.67673017,4.631789059999999,0.46432878
306.0,433.0,9.70910934,4.651396089999999,0.50840331
307.0,433.0,9.76535872,4.66025902,0.57037364
308.0,433.0,9.81385016,4.696346949999999,0.62944091
309.0,433.0,9.85780874,4.75370292,0.6780574
310.0,433.0,9.89819193,4.80368693,0.71109962
311.0,433.0,9.9239189,4.82062691,0.72400022
312.0,433.0,9.92330632,4.813874949999999,0.71465337
313.0,433.0,9.90431742,4.81033626,0.70224345
314.0,433.0,9.87676347,4.82475541,0.70747591
315.0,433.0,9.85024425,4.8496272099999995,0.73122636
316.0,433.0,9.81686742,4.88244665,0.76040956
317.0,433.0,9.76536829,4.928928169999999,0.76302342
318.0,433.0,9.72168442,4.95846371,0.73936013
319.0,433.0,9.75625305,4.95939203,0.68763372
320.0,433.0,9.83795143,4.95509212,0.6536602
321.0,433.0,9.89696866,4.99115424,0.64891006
322.0,433.0,9.92257862,5.052338339999999,0.6855653
323.0,433.0,9.92000161,5.0968122099999995,0.7358645
324.0,433.0,9.89914524,5.134230669999999,0.77691015
325.0,433.0,9.87230759,5.18394702,0.82882315
326.0,433.0,9.86481131,5.23266392,0.8967662
327.0,433.0,9.88021914,5.251455159999999,0.96078036
328.0,433.0,9.91776737,5.242952259999999,0.99122306
329.0,433.0,9.95887542,5.22368719,1.01439855
330.0,433.0,9.9696104,5.2426934,1.02696285
331.0,433.0,9.932409,5.273377479999999,1.02759164
332.0,433.0,9.88880232,5.294105349999999,1.02880127
333.0,433.0,9.88710233,5.298849499999999,1.01595012
334.0,433.0,9.8980264,5.30336651,0.98579948
335.0,433.0,9.89229003,5.31813086,0.98198735
336.0,433.0,9.83786451,5.334153579999999,1.02240473
337.0,433.0,9.78409942,5.34641729,1.06498702
338.0,433.0,9.7868638,5.34100834,1.09051313
339.0,433.0,9.82938458,5.328454129999999,1.07268455
340.0,433.0,9.84839629,5.328061629999999,1.04272952
341.0,433.0,9.84434047,5.33654149,1.01517595
342.0,433.0,9.80562565,5.34772768,0.98502819
343.0,433.0,9.75227873,5.367144309999999,0.94778686
344.0,433.0,9.7161483,5.369319559999999,0.91441612
345.0,433.0,9.72077635,5.359345639999999,0.88689815
346.0,433.0,9.74685398,5.35657438,0.86876234
347.0,433.0,9.76286937,5.377671869999999,0.87008373
348.0,433.0,9.76868257,5.39433383,0.87644614
349.0,433.0,9.7707041,5.4077214399999995,0.88787571
350.0,433.0,9.7959339,5.421115609999999,0.900934
351.0,433.0,9.84017015,5.45067948,0.90452453
352.0,433.0,9.89141262,5.5071295,0.88002256
353.0,433.0,9.9258848,5.561949439999999,0.85057009
354.0,433.0,9.95510225,5.58034262,0.83726099
355.0,433.0,9.99574632,5.555828879999999,0.84405402
356.0,433.0,10.04968571,5.500680859999999,0.8483684
357.0,433.0,10.11114475,5.440791679999999,0.82896164
358.0,433.0,10.15235676,5.374040769999999,0.79941464
359.0,433.0,10.16162407,5.32716424,0.7715397
360.0,433.0,10.14336706,5.298578469999999,0.76373186
361.0,433.0,10.1236386,5.25955832,0.75971833
362.0,433.0,10.10404078,5.173828179999999,0.75910122
363.0,433.0,10.09865667,5.046306169999999,0.76137953
364.0,433.0,10.10213414,4.943028499999999,0.75775768
365.0,433.0,10.1071553,4.89571565,0.72933098
366.0,433.0,10.09561884,4.906546539999999,0.69959049
367.0,433.0,10.07804323,4.95203766,0.69486293
368.0,433.0,10.0683811,4.99687552,0.70444631
369.0,433.0,10.06292385,5.015697449999999,0.70307306
370.0,433.0,10.08078581,5.005262139999999,0.67290391
371.0,433.0,10.10887236,4.9839978899999995,0.62396939
372.0,433.0,10.12562286,4.963193089999999,0.57274634
373.0,433.0,10.11647845,4.93460473,0.53212825
374.0,433.0,10.08487417,4.905635609999999,0.52008739
375.0,433.0,10.03725188,4.872452969999999,0.52443783
376.0,433.0,9.99252264,4.82070053,0.50107418
377.0,433.0,9.96281427,4.757925459999999,0.44948011
378.0,433.0,9.93794873,4.7181114,0.42028854
379.0,433.0,9.90420192,4.70098099,0.45713311
380.0,433.0,9.84329456,4.729691169999999,0.50594958
381.0,433.0,9.77936561,4.79522764,0.51267526
382.0,433.0,9.75006374,4.867827669999999,0.47053142
383.0,433.0,9.75350486,4.91294901,0.39695197
384.0,433.0,9.7778184,4.92552036,0.30981343
385.0,433.0,9.81225265,4.92264243,0.22385908
386.0,433.0,9.85354872,4.921861569999999,0.14221714
387.0,433.0,9.90196008,4.92046131,0.08579544
388.0,433.0,9.9378944,4.9236471,0.07313309
389.0,433.0,9.93823394,4.955695909999999,0.1162198
390.0,433.0,9.93203194,5.018354459999999,0.17947838
391.0,433.0,9.95763196,5.08421622,0.23205952
392.0,433.0,10.03317846,5.13524589,0.27688486
393.0,433.0,10.12747516,5.18199712,0.30659052
394.0,433.0,10.21433013,5.225197829999999,0.33596283
395.0,433.0,10.28830514,5.24679433,0.34803051
396.0,433.0,10.31207757,5.21048397,0.31441661
397.0,433.0,10.27862742,5.1412482,0.25057639
398.0,433.0,10.18916323,5.08439731,0.20199751
399.0,433.0,10.07144501,5.043508319999999,0.18174767
400.0,433.0,9.95982939,5.01652554,0.17134243
401.0,433.0,9.87658113,4.985290769999999,0.17323738
402.0,433.0,9.84470543,4.952938249999999,0.2013006
403.0,433.0,9.84572197,4.93021789,0.24813044
404.0,433.0,9.85980799,4.921217299999999,0.30161169
405.0,433.0,9.87210871,4.91869895,0.36115539
406.0,433.0,9.88173451,4.924659929999999,0.43572946
407.0,433.0,9.90059269,4.932807389999999,0.5098282
408.0,433.0,9.90799624,4.934693019999999,0.54889526
409.0,433.0,9.88546318,4.916891009999999,0.57160341
410.0,433.0,9.83949501,4.8771644,0.60822836
411.0,433.0,9.81917293,4.82131768,0.63994731
412.0,433.0,9.82865482,4.76831632,0.69294991
413.0,433.0,9.8724947,4.71941943,0.77806844
414.0,433.0,9.93818568,4.682561359999999,0.87305279
415.0,433.0,9.96784922,4.662217779999999,0.98885231
416.0,433.0,9.94053731,4.648334239999999,1.12460646
417.0,433.0,9.87515831,4.647892239999999,1.25094734
418.0,433.0,9.81655043,4.6361574999999995,1.36129566
419.0,433.0,9.78261072,4.61420826,1.44557753
420.0,433.0,9.7582113,4.61845486,1.49146636
421.0,433.0,9.73589518,4.672345349999999,1.51429108
422.0,433.0,9.7283541,4.776437739999999,1.52713927
423.0,433.0,9.75145167,4.887928519999999,1.53019289
424.0,433.0,9.80305636,4.98667927,1.51655629
425.0,433.0,9.84821744,5.06658094,1.49024351
426.0,433.0,9.88996248,5.11936487,1.44872311
427.0,433.0,9.92833038,5.145493069999999,1.42476447
428.0,433.0,9.98694602,5.14770905,1.39865952
429.0,433.0,10.05860602,5.124018659999999,1.36518211
430.0,433.0,10.14671026,5.0668188999999995,1.3362091
431.0,433.0,10.2390829,5.01116195,1.31491121
432.0,433.0,10.32448572,5.017390969999999,1.28381339
433.0,433.0,10.39879948,5.0871827199999995,1.24086091
434.0,433.0,10.46347113,5.172790509999999,1.1991952
435.0,433.0,10.512312,5.225544079999999,1.17187296
436.0,433.0,10.53315199,5.2359878,1.15103212
437.0,433.0,10.53878595,5.2311843499999995,1.14450025
438.0,433.0,10.56712228,5.22557069,1.14514449
439.0,433.0,10.61429076,5.226942679999999,1.15870541
440.0,433.0,10.64832421,5.218467159999999,1.21294625
441.0,433.0,10.66046818,5.2016000899999995,1.28726534
442.0,433.0,10.64188932,5.179043719999999,1.36604652
443.0,433.0,10.60249793,5.17101126,1.4246055
444.0,433.0,10.55921164,5.191066809999999,1.44766992
445.0,433.0,10.53028934,5.23909396,1.44563428
446.0,433.0,10.53129831,5.2954343,1.42894761
447.0,433.0,10.55296083,5.34817567,1.41965262
448.0,433.0,10.55484483,5.3876588299999995,1.42141465
449.0,433.0,10.50125733,5.394284399999999,1.42925826
450.0,433.0,10.42471442,5.346206349999999,1.44338176
451.0,433.0,10.37024193,5.268227829999999,1.48679664
452.0,433.0,10.34295377,5.19204285,1.56508219
453.0,433.0,10.30318209,5.129183729999999,1.65032671
454.0,433.0,10.24670947,5.093111709999999,1.69957583
455.0,433.0,10.21148554,5.105743049999999,1.71207666
456.0,433.0,10.19237941,5.17273707,1.70971038
457.0,433.0,10.16492583,5.255038709999999,1.68688887
458.0,433.0,10.11886529,5.313364869999999,1.64018562
459.0,433.0,10.08433838,5.32667996,1.57970181
460.0,433.0,10.09080587,5.28909307,1.51596059
461.0,433.0,10.1379754,5.227679909999999,1.49299175
462.0,433.0,10.17025856,5.16585265,1.52518625
463.0,433.0,10.14650186,5.1197827,1.5703003
464.0,433.0,10.10348548,5.10735592,1.61231514
465.0,433.0,10.08391519,5.106225409999999,1.64487836
466.0,433.0,10.09244092,5.102511809999999,1.65716084
467.0,433.0,10.14106894,5.11070795,1.62066566
468.0,433.0,10.21350425,5.133531189999999,1.54983232
469.0,433.0,10.29186633,5.177852399999999,1.46319653
470.0,433.0,10.34686756,5.22819964,1.37965896
471.0,433.0,10.38020034,5.259415819999999,1.29074334
472.0,433.0,10.39595345,5.27432329,1.20935427
473.0,433.0,10.39246467,5.261930849999999,1.15739922
474.0,433.0,10.38871984,5.21995216,1.11932716
475.0,433.0,10.39581345,5.168581639999999,1.08034134
476.0,433.0,10.41319811,5.123638659999999,1.04102396
477.0,433.0,10.42823928,5.102180579999999,1.03460213
478.0,433.0,10.435092,5.09972902,1.07218319
479.0,433.0,10.42362901,5.092440179999999,1.11747695
480.0,433.0,10.40999977,5.037320299999999,1.12820767
481.0,433.0,10.38468741,4.944718549999999,1.12455791
482.0,433.0,10.34894622,4.854095509999999,1.12662643
483.0,433.0,10.32126937,4.802932219999999,1.13770657
484.0,433.0,10.29580029,4.8100533599999995,1.13510869
485.0,433.0,10.27420972,4.843904569999999,1.100416
486.0,433.0,10.27207027,4.863046899999999,1.05289828
487.0,433.0,10.2936691,4.868478639999999,1.01969135
488.0,433.0,10.30781937,4.88239918,1.01440314
489.0,433.0,10.29468845,4.899086799999999,1.00634151
490.0,433.0,10.26977388,4.920423359999999,0.98812606
491.0,433.0,10.2543656,4.934518169999999,0.96955651
492.0,433.0,10.23954385,4.9360857,0.97304662
493.0,433.0,10.22637065,4.91810735,0.9815417
494.0,433.0,10.22573254,4.892939049999999,0.98266543
495.0,433.0,10.23937164,4.878027549999999,0.97885187
496.0,433.0,10.2655985,4.880728939999999,0.99287276
497.0,433.0,10.26766091,4.884846419999999,1.03605614
498.0,433.0,10.23200331,4.86567642,1.08868965
499.0,433.0,10.17193447,4.83188784,1.12602046
500.0,433.0,10.12302787,4.8074055,1.14180598
501.0,433.0,10.10161431,4.78968407,1.16016689
502.0,433.0,10.10913965,4.769310519999999,1.1804984
503.0,433.0,10.13733687,4.7317822,1.19843151
504.0,433.0,10.16379141,4.6811142,1.20276619
505.0,433.0,10.18780655,4.63292178,1.19845132
506.0,433.0,10.20071137,4.59941997,1.17105307
507.0,433.0,10.21621131,4.57087922,1.12992629
508.0,433.0,10.21613305,4.5444108199999995,1.08700132
509.0,433.0,10.20974133,4.51815307,1.04843726
510.0,433.0,10.21086007,4.51317834,1.02186648
511.0,433.0,10.21919632,4.5299578,0.99418263
512.0,433.0,10.23450681,4.5424369,0.96535213
513.0,433.0,10.24641028,4.515386099999999,0.93165038
514.0,433.0,10.24924512,4.448505919999999,0.92694672
515.0,433.0,10.250989,4.37446458,0.9412121
516.0,433.0,10.25998303,4.314252739999999,0.93646493
