0     382         6.22092688     -5.84581805      1.87344732
1     382         6.19087236     -5.82968027      1.84942655
2     382         6.18596758     -5.85792859      1.82722737
3     382         6.19985471     -5.90343468      1.81657485
4     382         6.23585592     -5.94055004      1.82535370
5     382         6.29986625     -5.97728063      1.85316995
6     382         6.37431897     -6.01800947      1.92876721
7     382         6.43245428     -6.06031742      2.01433894
8     382         6.46215219     -6.10233236      2.06696097
9     379         5.64129508     -8.28550570      1.14120176
10    379         5.68297636     -8.28209876      1.20233969
11    379         5.70055688     -8.32606847      1.22621598
12    379         5.67907073     -8.41326970      1.22392142
13    379         5.63292750     -8.49692614      1.24077053
14    379         5.58315507     -8.53653661      1.28728481
15    379         5.54226100     -8.52713544      1.33216655
16    379         5.50203510     -8.50419514      1.36752154
17    379         5.45939960     -8.48656024      1.37087715
18    379         5.42125620     -8.47728969      1.35579494
19    379         5.37976548     -8.46223211      1.32903567
20    379         5.31463232     -8.43927657      1.29299291
21    379         5.23527741     -8.41660632      1.25925278
22    379         5.17140615     -8.39114428      1.22255277
23    379         5.12777573     -8.33901531      1.17533911
24    379         5.09701379     -8.24362073      1.12137196
25    379         5.08537248     -8.14554585      1.06182637
26    379         5.07294661     -8.06396515      0.99910067
27    379         5.04064242     -8.00608802      0.93945825
28    379         4.99154795     -7.95805081      0.89936831
29    379         4.95173664     -7.89676649      0.86623886
30    379         4.92105519     -7.80986928      0.83927611
31    379         4.89219835     -7.74415324      0.83106061
32    379         4.87543892     -7.70840602      0.84539213
33    379         4.88139437     -7.69190033      0.89965722
34    379         4.90313052     -7.69663423      0.98227083
35    379         4.91132644     -7.72092968      1.07521663
36    379         4.89922408     -7.75007335      1.12153043
37    379         4.86907734     -7.76945469      1.12112645
38    379         4.82761452     -7.80146780      1.11954788
39    379         4.78942801     -7.83073337      1.13610096
40    379         4.79600648     -7.83494195      1.16024962
41    379         4.84212278     -7.81481823      1.18242695
42    379         4.89117502     -7.81497921      1.21279773
43    379         4.92071465     -7.85499555      1.24572422
44    379         4.95406877     -7.91363237      1.26756284
45    379         5.01405831     -7.95783764      1.28015591
46    379         5.07947285     -7.98370761      1.30136529
47    379         5.11272727     -8.03227677      1.31422371
48    379         5.10616651     -8.12037400      1.31925998
49    379         5.07383069     -8.19511114      1.34148995
50    379         5.05057655     -8.21303385      1.37438383
51    379         5.05724196     -8.17747299      1.39229497
52    379         5.08102237     -8.10632185      1.38872280
53    379         5.10432477     -8.01896485      1.37292903
54    379         5.13187989     -7.93708846      1.35032343
55    379         5.15952914     -7.87924318      1.33979887
56    379         5.16436935     -7.84696474      1.32528083
57    379         5.13702777     -7.84154544      1.29786488
58    379         5.09947604     -7.85386576      1.28644901
59    379         5.08272392     -7.86391160      1.28368693
60    379         5.10349857     -7.84779110      1.27983153
61    379         5.14844341     -7.81674657      1.28805979
62    379         5.16734397     -7.81762729      1.30528515
63    379         5.14028692     -7.84474364      1.30463075
64    379         5.10458991     -7.86831178      1.27916356
65    379         5.08549580     -7.88757962      1.25700508
66    379         5.06849506     -7.91285303      1.26260204
67    379         5.05924727     -7.93283851      1.29017234
68    379         5.05230578     -7.94361618      1.29714697
69    379         5.03342033     -7.96205775      1.27719751
70    379         5.03376543     -7.99882975      1.25881908
71    379         5.05782875     -8.04643645      1.24882473
72    379         5.07292502     -8.07395824      1.23077437
73    379         5.06544517     -8.09415562      1.22686287
74    379         5.02933166     -8.10000294      1.21808590
75    379         5.00308900     -8.07847620      1.21579928
76    379         5.00003845     -8.04310198      1.23749025
77    379         5.00989794     -8.02002429      1.25775243
78    379         5.00141560     -8.01359298      1.26221144
79    379         4.99030642     -8.02112686      1.26100967
