nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,3.7668812199999997,0.033273529999999996,2.0933307699999997,4.309586403126887,2.7103705199999997,3.1636829699999995,3.4904584400000003,5.434914756619493,10.887651349999999,6.35469031,7.38788781,14.61177357983319,4.41039961,3.22428087,1.8040986,5.753467094462092
1,3.65713934,0.00773790000000002,2.19184955,4.263675934813438,2.71577524,3.1505574500000004,3.42769878,5.389857727840416,10.80295171,6.37599068,7.41386735,14.571288614375698,4.43003713,3.2176953299999997,1.79431902,5.761802925770388
2,3.58656471,0.020082920000000004,2.1920655499999997,4.203451096205344,2.6983173999999996,3.19408229,3.37174891,5.371384288851487,10.71277737,6.36303169,7.35227556,14.467471347035794,4.4278952600000006,3.1890323200000004,1.7884611,5.7423668184598124
3,3.55664406,0.022711449999999994,2.1661154000000002,4.164407365473694,2.62927143,3.24831336,3.33582763,5.3471818665947906,10.65600165,6.38281936,7.27269649,14.39384828261198,4.47008616,3.15721745,1.7707534600000001,5.751978800422513
4,3.49457659,0.002012029999999998,2.20410844,4.131605451506712,2.62442738,3.26368369,3.28744163,5.324145262098202,10.59230341,6.424016030000001,7.27334805,14.365460846754392,4.47329944,3.16234437,1.78179798,5.76069733937716
5,3.4867095700000004,0.014503910000000009,2.26185542,4.156121260251949,2.66946879,3.3464186,3.2771875599999998,5.391153806990557,10.60205543,6.44159877,7.31933721,14.403835296480885,4.44587707,3.10968408,1.78029423,5.710114319725002
6,3.49912627,0.10367788,2.33594042,4.208473761590439,2.6471818000000003,3.3995553400000005,3.3460025399999997,5.4552984326854395,10.61008256,6.4087556,7.42042264,14.446753006360014,4.46377449,3.11287814,1.7384796799999997,5.712933100416766
7,3.51992078,0.21642108999999998,2.3461777,4.235708935426263,2.6964434400000004,3.39153597,3.32895278,5.4639957972524655,10.61923878,6.35225315,7.47845902,14.458447415340284,4.40287456,3.17713827,1.8033285399999999,5.7211454972734535
8,3.55486147,0.24680051000000003,2.24449073,4.2113761645907095,2.7452185800000004,3.3668494,3.2533651800000003,5.427364455119447,10.65749852,6.33351792,7.42786032,14.452295073108418,4.35741847,3.21346903,1.93000441,5.747903613673921
9,3.4911559899999998,0.22383179,2.19390261,4.129343710432966,2.8215021000000005,3.29221225,3.23604949,5.410319020268928,10.63664544,6.33034453,7.41901194,14.430981472188103,4.3239873499999995,3.26196407,1.98905984,5.7700637123026475
10,3.4434429,0.23498682,2.07473972,4.027041434711071,2.80160373,3.3208728199999995,3.24512849,5.422917910421874,10.64822794,6.290732569999999,7.31735923,14.370171210891039,4.40318131,3.2048465700000004,1.99749102,5.800777323855375
11,3.46251606,0.24651633,1.9806874899999998,3.9966124029929513,2.8330508399999994,3.40533074,3.25240242,5.4955050734609925,10.72204375,6.2682950900000005,7.22361991,14.36782621402349,4.42647685,3.10948068,1.99053,5.7640937781909125
12,3.42441703,0.21473625999999998,1.9741100899999995,3.958516679787091,2.9145366299999997,3.40171978,3.24624882,5.532120084615517,10.714742209999999,6.30239213,7.2166014999999994,14.373767230508635,4.37578855,3.11540861,1.99624259,5.730469502554144
13,3.4068633900000003,0.22911968,1.9639011499999999,3.939050864466835,2.9473800800000003,3.4151128199999996,3.17263662,5.515040165934804,10.702090250000001,6.292440399999999,7.24022965,14.371863737575456,4.34784678,3.10644726,2.10369188,5.74276115884126
14,3.4291003800000004,0.24278573,1.9742841800000002,3.9642745049007457,2.93742228,3.3343143599999996,3.25478092,5.508148576385595,10.72370738,6.28261592,7.31736658,14.422656358528577,4.35718472,3.19108729,2.0883014799999997,5.790431749703231
15,3.4861937899999997,0.27058499,1.94291694,4.0002111961728755,2.93441832,3.32440451,3.3341722899999997,5.547898798848426,10.77702867,6.28410979,7.3366758899999995,14.472774299410707,4.3564165599999995,3.2302902700000002,2.05958666,5.801296207120342
16,3.61167662,0.32550559,1.88500684,4.086980876322111,3.0295459900000004,3.39381148,3.3674137699999998,5.659998300855794,10.868703589999999,6.2776105,7.28927612,14.514498188728103,4.22748098,3.20930461,2.03685551,5.685069206671662
17,3.66323459,0.38842235,1.9098398900000002,4.14941537915731,3.05017598,3.33922259,3.38352232,5.64820363518114,10.82442792,6.23767926,7.290524270000001,14.464737345605993,4.11101735,3.2868790199999998,1.9971620600000002,5.629626420822311
18,3.73744663,0.40252293,1.9482001300000005,4.233912583864499,2.98486663,3.32481053,3.3008081000000002,5.555099276548715,10.81723214,6.21206955,7.331829620000001,14.469210235579395,4.09491888,3.28978195,2.08282139,5.65059031030987
