Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz,pred_msd_xx,pred_msd_yy,pred_msd_zz,xx_error,yy_error,zz_error
1.0,0.01,0.13091605195326575,-0.007284943055406915,0.003218699662487658,0.20932581529808936,0.0004627936477555275,0.0030044180651201628,2.6630147290718527,1.0070764408914599,0.5488301213262277,-2.532098677118587,-0.7977506255933705,-0.5458257032611075
2.0,0.02,0.25295578885817543,-0.01420029099748995,0.006365618294110823,0.3324708666288374,0.0006864590069978417,0.008572180279898745,2.753905192563627,1.1411924979315913,0.5540919234807816,-2.5009494037054516,-0.8087216313027539,-0.5455197432008829
3.0,0.03,0.34763702727179385,-0.035242736739447965,0.009978080972902162,0.5695467015782614,0.0009175181043268326,0.015851920853131224,2.8447956560554006,1.2753085549717225,0.5593537256353355,-2.4971586287836067,-0.7057618533934611,-0.5435018047822042
4.0,0.04,0.51200495042059,-0.028830588372582764,0.01348820325351314,0.5994752392291959,0.0002798307193703957,0.02393651674488943,2.9356861195471744,1.4094246120118539,0.5646155277898894,-2.4236811691265845,-0.809949372782658,-0.540679011045
5.0,0.05,0.5558434948927751,-0.03382819094887568,0.017490024310854023,0.8178238498107067,0.003780736674212556,0.03243189084410424,3.026576583038948,1.543540669051985,0.5698773299444433,-2.470733088146173,-0.7257168192412784,-0.537445439100339
6.0,0.06,0.7381056510954822,-0.07313977482697044,0.02093155226890911,0.9317223921414967,0.0026819335936519974,0.041215315033411117,3.117467046530722,1.6776567260921165,0.5751391320989973,-2.3793613954352395,-0.7459343339506198,-0.5339238170655861
7.0,0.07,0.7390466208931659,-0.08054145860551132,0.023412121248197935,1.147967840652918,0.004348297669882324,0.0504377901589526,3.208357510022496,1.8117727831322479,0.5804009342535511,-2.4693108891293303,-0.66380494247933,-0.5299631440945985
8.0,0.08,1.0327737868684599,-0.05682580360741113,0.027493622899485103,1.204071120526592,0.0005459355438482194,0.05969392610755795,3.29924797351427,1.945888840172379,0.5856627364081051,-2.26647418664581,-0.7418177196457871,-0.5259688103005471
9.0,0.09,0.9581834253323818,-0.10164759676211879,0.03215110088844867,1.3975665843403449,0.008700697312081347,0.06925111025738862,3.3901384370060437,2.0800048972125103,0.5909245385626589,-2.431955011673662,-0.6824383128721654,-0.5216734283052703
10.0,0.1,1.1188122655381032,-0.057988682828208814,0.035211739030088084,1.6013402456999701,0.007163209824481589,0.0796077324508696,3.481028900497818,2.2141209542526417,0.5961863407172129,-2.3622166349597147,-0.6127807085526715,-0.5165786082663433
11.0,0.11,1.1737629233692999,-0.12824501752669396,0.04011900385115461,1.658885369972327,0.0019391952192130714,0.09070190512879236,3.5719193639895916,2.348237011292773,0.6014481428717667,-2.3981564406202915,-0.6893516413204461,-0.5107462377429743
12.0,0.12,1.4897841520980684,-0.14376156121583988,0.045434239455424574,1.8208284992433843,0.00268559573505918,0.10288848807029527,3.6628098274813654,2.482353068332904,0.6067099450263207,-2.173025675383297,-0.6615245690895197,-0.5038214569560254
13.0,0.13,1.3920780563675543,-0.1430003041216317,0.04821866917398136,2.0234437640945226,0.00711796951743186,0.11384017862399633,3.753700290973139,2.6164691253730354,0.6119717471808745,-2.361622234605585,-0.5930253612785128,-0.49813156855687823
14.0,0.14,1.4997116005394504,-0.14728831135140583,0.05191264964286544,2.254940824131739,0.006877377189039079,0.1266939164980186,3.844590754464913,2.750585182413167,0.6172335493354285,-2.3448791539254623,-0.49564435828142805,-0.4905396328374099
15.0,0.15,1.6189094445773853,-0.12461500612715745,0.05606421645398272,2.2730908482470125,-0.002528222616960957,0.1364688699296374,3.9354812179566867,2.884701239453298,0.6224953514899824,-2.3165717733793016,-0.6116103912062854,-0.486026481560345
16.0,0.16,1.8111517017190042,-0.10024511653946194,0.05897092103579478,2.588286590134707,0.007772372184353607,0.15284232523499486,4.026371681448461,3.0188172964934292,0.6277571536445363,-2.215219979729457,-0.43053070635872226,-0.47491482840954147
17.0,0.17,1.9232860131482363,-0.1944069480145475,0.05712716919100194,2.894107063988766,0.004747661066660301,0.1672750935279857,4.117262144940235,3.1529333535335606,0.6330189557990902,-2.193976131791999,-0.2588262895447948,-0.4657438622711045
18.0,0.18,1.946429841720068,-0.20137388890428104,0.07241022370766978,2.826877042693855,0.01871093776893449,0.1754078266074074,4.208152608432009,3.287049410573692,0.6382807579536441,-2.261722766711941,-0.46017236787983684,-0.46287293134623675
19.0,0.19,2.054203635100472,-0.197640435150059,0.07076590216247088,2.979471460828933,0.006364915605045943,0.18886893362589846,4.299043071923783,3.4211654676138235,0.643542560108198,-2.2448394368233107,-0.44169400678489046,-0.45467362648229953
20.0,0.2,2.275103150021964,-0.07038838530910123,0.08536409093745892,3.331764924375922,0.0010456036925602537,0.2035072428369149,4.389933535415556,3.555281524653955,0.648804362262752,-2.1148303853935926,-0.22351660027803266,-0.44529711942583705
21.0,0.21,2.2754424214326203,-0.22357027265064847,0.07934773574047792,3.5066627512559823,-0.0003273095991889987,0.21170280241284378,4.48082399890733,3.6893975816940854,0.6540661644173058,-2.20538157747471,-0.18273483043810312,-0.442363362004462
22.0,0.22,2.382237003458307,-0.24304356934550891,0.09145693912293935,3.354356595028614,0.01000028543986518,0.22567505504646623,4.571714462399104,3.823513638734217,0.6593279665718598,-2.189477458940797,-0.46915704370560274,-0.43365291152539354
