,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
MaxAbsEStateIndex,0.0,3.486111111111111,3.6754166666666666,3.7574914965986395,2.125,2.2743055555555554,2.3134722222222224,2.1805555555555554,2.2318055555555554,2.2558985260770976,2.2743055555555554,2.201388888888889,2.298611111111111,2.3541666666666665,2.4054166666666665,2.429509637188209,2.318611111111111,2.3741666666666665,2.4254166666666666,2.449509637188209,1.5,1.5,2.3331747606449986,2.0,2.125,2.2118055555555554,2.245694444444444,2.2083333333333335,2.295138888888889,2.3290277777777777,2.2037037037037037,2.2407407407407405,2.2037037037037037,2.2407407407407405,2.261574074074074,2.298611111111111,2.2739197530864197,2.2114197530864197,2.4097222222222223,2.335648148148148
MaxEStateIndex,0.0,3.486111111111111,3.6754166666666666,3.7574914965986395,2.125,2.2743055555555554,2.3134722222222224,2.1805555555555554,2.2318055555555554,2.2558985260770976,2.2743055555555554,2.201388888888889,2.298611111111111,2.3541666666666665,2.4054166666666665,2.429509637188209,2.318611111111111,2.3741666666666665,2.4254166666666666,2.449509637188209,1.5,1.5,2.3331747606449986,2.0,2.125,2.2118055555555554,2.245694444444444,2.2083333333333335,2.295138888888889,2.3290277777777777,2.2037037037037037,2.2407407407407405,2.2037037037037037,2.2407407407407405,2.261574074074074,2.298611111111111,2.2739197530864197,2.2114197530864197,2.4097222222222223,2.335648148148148
MinAbsEStateIndex,0.0,1.0,1.09375,1.1111111111111112,1.0,1.2777777777777777,1.3333333333333333,1.0694444444444444,1.105,1.114795918367347,0.4565972222222222,0.9900925925925925,1.25,1.3194444444444444,1.355,1.364795918367347,1.25,1.3194444444444444,1.355,1.364795918367347,1.5,1.5,1.0747004913076341,2.0,1.0563888888888888,1.1501388888888888,1.1675,1.062175925925926,1.155925925925926,1.173287037037037,1.300925925925926,1.2551851851851854,1.2742592592592594,1.2285185185185188,1.2386167800453516,1.192876039304611,0.7546296296296294,0.014629629629629992,1.4281481481481484,1.3672839506172838
MinEStateIndex,0.0,1.0,1.09375,1.1111111111111112,1.0,1.2777777777777777,1.3333333333333333,1.0694444444444444,1.105,1.114795918367347,0.4565972222222222,0.9900925925925925,1.25,1.3194444444444444,1.355,1.364795918367347,1.25,1.3194444444444444,1.355,1.364795918367347,1.5,1.5,1.0747004913076341,2.0,1.0563888888888888,1.1501388888888888,1.1675,1.062175925925926,1.155925925925926,1.173287037037037,1.300925925925926,1.2551851851851854,1.2742592592592594,1.2285185185185188,1.2386167800453516,1.192876039304611,0.7546296296296294,-0.014629629629629992,-1.5264351851851845,-1.3672839506172838
qed,0.3932132102438689,0.3714914223317165,0.47829817223429855,0.5086480217633857,0.36298363927122324,0.5097018693565522,0.5093902212262768,0.41409086809263257,0.49004916524427206,0.410006209278147,0.47424630091483594,0.5647334091641918,0.39593272740048246,0.44995278767265373,0.528866095482775,0.43948464355510775,0.415670171679936,0.47086218093472104,0.5504696144422425,0.4545241900066892,0.43022371589508335,0.4690652561945544,0.5950013332455758,0.41233572422042236,0.47230594821712363,0.5575179529498776,0.46492512321346935,0.4869997051513422,0.5807006768498627,0.486236013699545,0.4695195862595072,0.6249998449769057,0.5150900011486723,0.560801996248139,0.6258112404331719,0.4761358793397962,0.495659411399743,0.5963974342145791,0.6415602397023896,0.6262352932550231
SPS,0.0,6.0,8.4,9.428571428571429,12.0,12.0,12.0,12.0,12.0,12.0,14.0,11.545454545454545,28.285714285714285,26.25,23.4,21.5,27.75,26.0,23.454545454545453,21.692307692307693,32.0,30.545454545454547,28.071428571428573,8.714285714285714,9.125,9.7,10.083333333333334,10.11111111111111,10.454545454545455,10.692307692307692,10.5,10.666666666666666,10.916666666666666,10.941176470588236,10.75,10.8,10.285714285714286,10.578947368421053,11.25,13.846153846153847
MolWt,18.039,46.092999999999996,74.14699999999999,102.20100000000001,74.14699999999999,130.255,186.36299999999994,88.17399999999999,116.22799999999998,144.28199999999998,130.255,150.245,100.18499999999999,114.21199999999999,142.26599999999996,170.31999999999996,114.21199999999999,128.23899999999998,156.29299999999998,184.34699999999998,126.223,154.277,196.35799999999995,94.13699999999999,108.16399999999999,136.21800000000002,164.272,125.195,153.249,181.303,139.22199999999998,201.293,161.22799999999998,223.299,263.364,325.435,119.253,263.385,277.327,208.29
HeavyAtomMolWt,14.007,38.028999999999996,62.050999999999995,86.073,62.05099999999999,110.09499999999997,158.13899999999998,74.06199999999998,98.08399999999999,122.10599999999998,110.09499999999998,134.117,86.073,98.08399999999999,122.10599999999998,146.128,98.08399999999999,110.09499999999998,134.117,158.13899999999998,110.09499999999998,134.117,170.14999999999998,86.073,98.08399999999999,122.10599999999998,146.128,112.09099999999998,136.11299999999997,160.13499999999996,124.10199999999998,184.15699999999995,148.12399999999997,208.17899999999995,244.21199999999993,304.26700000000005,104.13299999999998,248.26499999999993,259.18299999999994,183.09
ExactMolWt,18.03382554809,46.06512567608999,74.09642580408999,102.12772593208999,74.09642580408999,130.15902606008999,186.22162631609,88.11207586808999,116.14337599608999,144.17467612408998,130.15902606008999,150.12772593209,100.11207586808999,114.12772593208999,142.15902606008999,170.19032618808998,114.12772593208999,128.14337599609,156.17467612408998,184.20597625208998,126.12772593208999,154.15902606008999,196.20597625208998,94.06512567608999,108.08077574008999,136.11207586809,164.14337599609,125.10732483608999,153.13862496408998,181.16992509208998,139.12297490009,201.13862496408998,161.10732483609,223.12297490009,263.15427502809,325.16992509209,119.08889790008999,263.08889790009,277.11406362609,208.18113485008996
NumValenceElectrons,8.0,20.0,32.0,44.0,32.0,56.0,80.0,38.0,50.0,62.0,56.0,60.0,42.0,48.0,60.0,72.0,48.0,54.0,66.0,78.0,52.0,64.0,82.0,36.0,42.0,54.0,66.0,50.0,62.0,74.0,56.0,78.0,62.0,84.0,100.0,122.0,44.0,92.0,98.0,81.0
