nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,3.32318115,7.75796725,3.4630643,9.122631372236981,6.62662864,1.6937573499999998,0.37753398,6.850076860824403,14.70123885,0.7980488,2.36041923,14.910898180635684,4.7514290599999995,5.2661611,1.48017905,7.245651169040957
1,3.3372796900000004,7.73874733,3.55267441,9.14588111831427,6.5298636000000005,1.77500348,0.34764583,6.775737126817529,14.697413130000001,0.79856978,2.4180592499999998,14.916389541170352,4.83026984,5.16517407,1.48226099,7.22548458880716
2,3.2776799099999994,7.68605083,3.56943719,9.086222801974229,6.44690425,1.7910294,0.35953016,6.700718070198302,14.64819303,0.7877567499999999,2.41040701,14.866074858387075,4.923608870000001,5.10726468,1.51856034,7.254798572154785
3,3.20545078,7.64588535,3.5669889,9.025402334581571,6.405653839999999,1.74612926,0.32858247,6.6475059195254715,14.58882114,0.8210106899999999,2.37732748,14.804034813359781,4.9777165199999995,5.078745400000001,1.5182438900000002,7.271614751967022
4,3.16675453,7.5901577200000006,3.61528602,8.983825547847562,6.404266690000001,1.6349825,0.33805050000000003,6.618313814900293,14.536544200000002,0.86185561,2.3740673599999997,14.754325067615243,4.965522979999999,5.09331961,1.57926916,7.286454157836014
5,3.1117184599999996,7.554464830000001,3.63214154,8.941207010723177,6.42220679,1.63793828,0.36426043,6.637790861685478,14.47725987,0.9006881999999999,2.31143185,14.688260951328651,4.94333462,5.01583835,1.68497012,7.241154315709207
6,3.0633785100000006,7.545691059999999,3.71279831,8.950229760136473,6.38535684,1.65864478,0.35346835,6.606725690900732,14.46234458,0.9540659100000001,2.34876645,14.682859270180488,5.01360923,4.932980369999999,1.7175002099999999,7.240191973511238
7,3.01180656,7.52633297,3.7280086299999997,8.922707833136895,6.387687629999999,1.6228235,0.3687376,6.6009148447969705,14.48154337,0.98945671,2.37910205,14.708985332866071,5.08204918,4.91405276,1.71764418,7.274987280063805
8,2.9510669299999996,7.486773250000001,3.6808091899999997,8.849233074986987,6.405996889999999,1.64321611,0.38958931,6.624857369734043,14.47801412,0.9938418299999999,2.36444667,14.703442538985595,5.1209503000000005,4.849715310000001,1.70595183,7.256317399990083
9,2.96382469,7.49797038,3.69206932,8.86764864415005,6.347768570000001,1.6764218999999998,0.45424906000000004,6.581101610945568,14.530783540000002,1.0147917400000002,2.39970828,14.762522561913588,5.219190279999999,4.80675674,1.7466101,7.307222754084065
10,2.92100498,7.45954064,3.67785113,8.814964865921967,6.278342199999999,1.72828271,0.5338261200000001,6.5337211627356755,14.509233989999998,0.9705778100000001,2.40609627,14.7393755472321,5.30988681,4.76068012,1.80558098,7.3565682091117015
11,2.79504364,7.36868834,3.7061652900000004,8.70893207909886,6.253477460000001,1.76703471,0.52996882,6.519912496287433,14.36021367,0.89424393,2.42751849,14.591376044557572,5.31169257,4.7074097,1.80861562,7.324266140901441
12,2.75273542,7.32687723,3.7454794099999997,8.676940604080968,6.234084480000001,1.71397996,0.5061178100000001,6.485190193406642,14.26346726,0.9090556200000001,2.43788327,14.49883289218451,5.27664736,4.70384165,1.81371395,7.29785529607804
13,2.69218933,7.282523309999999,3.73187905,8.614519742451582,6.21051509,1.73831665,0.5829909400000001,6.475501594078024,14.16625268,0.9450642899999999,2.4065788,14.400259824963223,5.26354826,4.599142369999999,1.90829119,7.245593563726153
14,2.6548968900000003,7.22315895,3.6976679299999997,8.537871563454633,6.14803203,1.82756346,0.59285866,6.441255113172439,14.1209633,0.9418728199999999,2.37293677,14.349897485467263,5.31803438,4.45372267,1.91758982,7.196824716908253
