nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,1.8624593899999997,6.519949079999999,1.44640549,6.933295019447401,3.5676814399999994,5.08971966,0.9417987700000001,6.286539747578511,12.817310950000003,0.55928757,1.45650516,12.911919681288802,14.522533,1.22304369,0.9316991000000001,14.603693499135025
1,1.9421508700000008,6.5683217,1.44473941,7.000147992674141,3.5367274900000005,5.16579814,0.97821045,6.336466479532451,12.887730320000003,0.50964728,1.53001058,12.988235658701713,14.48230694,1.1482328800000001,0.89293928,14.555170682917195
2,1.9574743999999988,6.551837279999999,1.40477633,6.980807568439443,3.5609597500000003,5.25692557,0.9891124599999999,6.426044214613461,12.910070559999998,0.5113970099999998,1.55146692,13.013012655410348,14.51355591,1.07184014,0.8424218699999999,14.577442198323594
3,1.8823006099999997,6.5250222199999985,1.38138903,6.9301663912278775,3.62551138,5.31564583,1.0218213999999999,6.51494760761772,12.84535748,0.5297289999999999,1.5348174799999998,12.94756680999741,14.58856825,1.0216029500000001,0.86839295,14.650054692319973
4,1.8980868700000002,6.524006989999999,1.50526514,6.959254565924031,3.617620079999999,5.31798223,1.04906378,6.51679713174523,12.87361378,0.5375525000000001,1.58125015,12.98149631143256,14.59314699,1.0124582799999997,0.97307877,14.660555689778997
5,1.9208119799999999,6.560583399999999,1.62849047,7.02728641950418,3.546049720000001,5.29910606,1.0205618699999999,6.457285821638895,12.888230190000002,0.5102300099999999,1.60265373,12.997511726165705,14.51346793,1.0220805300000002,1.0463986099999998,14.586992493860874
6,1.8949773400000005,6.515850829999999,1.7231001,7.001165982359307,3.5922364,5.239753540000001,1.06429672,6.44142119579447,12.84368446,0.5672275599999999,1.6337857599999999,12.959600052565195,14.540943519999999,1.06916807,1.15361106,14.625764160941875
7,1.9084348600000016,6.43179904,1.7445550300000001,6.932072904875311,3.57497256,5.16576855,1.11314384,6.38002215712861,12.876206520000002,0.69296252,1.65366642,13.000442455103245,14.542744220000001,1.1014698899999997,1.2040324500000001,14.634013103300578
8,1.9562460099999992,6.401061149999999,1.6846827500000001,6.902074924675028,3.4808362699999993,5.1268996499999995,1.20431094,6.312819180043201,12.9723824,0.7883121999999999,1.60868477,13.095495712103782,14.496972659999999,1.0757270000000005,1.28030892,14.593100966345297
9,2.0189555300000013,6.350317779999999,1.74305303,6.887739193994927,3.4047717399999993,5.04458271,1.2738706,6.217960407165514,13.07695625,0.8904755200000001,1.68466964,13.215061226194567,14.46277246,1.1066239900000001,1.3322539899999999,14.566101214080895
10,2.100181189999999,6.28260023,1.8662127499999999,6.882192725366562,3.35027146,5.01659,1.28566486,6.167935490585918,13.20814782,0.97666193,1.81293923,13.367714315175766,14.45823809,1.11614784,1.3389383799999999,14.56293894285424
11,2.1186191900000004,6.29862786,1.90081597,6.911899995139649,3.3414424699999996,5.0210954899999996,1.31025762,6.17198612529112,13.263334969999999,0.9659620099999999,1.84910771,13.426404449977275,14.48615825,1.10631464,1.36196588,14.592041117849332
12,2.141245529999999,6.334547629999999,1.83290113,6.933321905756206,3.32728615,4.98921171,1.3091869,6.138162343105187,13.27656402,0.9543619799999999,1.7851035,13.429987098718312,14.462604640000002,1.11387868,1.35698453,14.56877021925212
13,2.1453327500000015,6.37647983,1.7992155799999998,6.964131269148661,3.320256369999999,5.01294538,1.3152276500000002,6.154961211633542,13.244479240000002,0.93950271,1.76124437,13.394061274002933,14.419402859999998,1.0630720799999995,1.35319886,14.521723322008203
14,2.0641441599999997,6.39011392,1.8109057100000001,6.955115133076553,3.3141402099999997,5.00954077,1.34563831,6.155466393310152,13.135213910000003,0.94106364,1.78441409,13.289227926428914,14.385209960000001,1.0512816699999998,1.37212993,14.488692117916063
