nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,4.352180409999999,6.799683610000001,1.4605799199999998,8.204295534657295,0.9780478800000001,5.77813907,1.39460375,6.023984427880522,7.11969518,7.53601466,2.7354354599999997,10.722135214950217,12.449923469999998,5.04180802,2.66945929,13.69475941447532
1,4.3898426299999995,6.781987600000001,1.51965003,8.220426408429072,0.9920094500000003,5.80431777,1.37445941,6.046761628654186,7.13699824,7.51766518,2.7964811,10.736495712242647,12.518850319999999,5.06864019,2.65129048,13.763795549178502
2,4.42850877,6.76729675,1.4931769799999999,8.224206510182572,1.0373140100000002,5.76043467,1.37497147,6.012418355869313,7.13018832,7.53282545,2.76849196,10.735343146421393,12.5960111,4.9949059700000005,2.6502864500000003,13.806976481022861
3,4.403485860000001,6.7238145000000005,1.4926343000000002,8.174859405712535,0.9953473000000002,5.69747077,1.41630488,5.954645995836654,7.15022274,7.51458974,2.72713492,10.725297621232231,12.5490559,4.90669553,2.6508054999999997,13.732488296163849
4,4.356227200000001,6.63259694,1.5464182000000002,8.084520198243583,0.9730999199999997,5.747135999999999,1.47936696,6.013736131485953,7.16024185,7.447447889999999,2.7145540400000003,10.681870017035276,12.48956897,4.93228505,2.6475028,13.686710340576665
5,4.255043109999999,6.528104560000001,1.4972890600000002,7.934948994382192,1.0769276900000002,5.71152515,1.5810543799999999,6.023373285882956,7.206304680000001,7.385359749999999,2.58524442,10.637568072123022,12.53827548,4.854269960000001,2.66900974,13.707512606200385
6,4.227663880000001,6.52081187,1.4983940299999998,7.914500236611861,1.06155557,5.65794306,1.63086818,5.983222452737046,7.18711678,7.433490330000001,2.52172247,10.642861941755328,12.476336230000001,4.7452646,2.65419662,13.609601814367796
7,4.254193010000001,6.522850979999999,1.47744584,7.926448718294538,1.0486688799999997,5.66833541,1.7432735099999999,6.02235296796925,7.10352745,7.45492334,2.42813102,10.579782818586896,12.40638934,4.73626305,2.6939586899999997,13.550206550377284
8,4.240660849999999,6.5757900199999995,1.4477711099999997,7.957402843818135,1.10773857,5.7535054,1.96443853,6.179719076579725,7.03291205,7.47820785,2.30611692,10.521578769345746,12.38131147,4.85108757,2.82278434,13.594044128187583
9,4.229103299999999,6.666839840000001,1.4320766100000002,8.023896284922381,1.2009878600000001,5.75978907,2.02360755,6.2219393670443175,6.98061911,7.54331594,2.20164959,10.51084770352527,12.41071027,4.88331297,2.79318053,13.62623691420433
10,4.275835359999999,6.66310232,1.3208719299999998,8.026481371564856,1.31016589,5.763964039999999,2.06788564,6.262265335631413,6.895699199999999,7.55414165,2.02021606,10.425785172073482,12.481700449999998,4.8729247099999995,2.76722977,13.681951686540666
11,4.29219936,6.65990474,1.30160826,8.029414085371306,1.3269702299999997,5.75762474,2.10404467,6.272008977299198,6.86917723,7.56756938,1.98071108,10.410423551455475,12.48834682,4.8499601,2.78314749,13.683085515310113
12,4.26494425,6.53686219,1.37822377,7.925895375719557,1.31659682,5.70765244,2.1093721,6.225766958257471,6.89167282,7.4411159300000005,2.06766151,10.350873618277928,12.47321389,4.8033987,2.79880984,13.656025788542268
13,4.27044433,6.46062297,1.43184914,7.875692724823608,1.3674104900000001,5.641680729999999,2.12523089,6.1818265296937565,6.9052864099999995,7.33456994,2.13280228,10.296977331938509,12.54314123,4.7677337600000005,2.82618403,13.713095686000177
