Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
1.0,0.01,0.003618857152185964,0.00020217588814620447,0.00016032381909724476,0.0031020937497129707,0.0003778638197445374,0.002300366060143998
2.0,0.02,0.009698117171737153,0.000460033422240994,0.00035992616611677956,0.008554727417374442,0.0008075050666004519,0.0069994105548219715
3.0,0.03,0.0172860841325095,0.0008198929253452874,0.0005854845597237469,0.015447546877216221,0.0012649177945352307,0.013230147459904704
4.0,0.04,0.025967181226414865,0.0009583605520147135,0.000889706044421369,0.023098848477962237,0.0018670274075222,0.020431035928382604
5.0,0.05,0.034965867344651645,0.0012585983260826514,0.0008755522137229535,0.030970019695654796,0.002567472035665898,0.027448785123545316
6.0,0.06,0.04420800097339789,0.0015757038731403017,0.0010086555043925239,0.039533985140631014,0.003445882798655189,0.035250069038542546
7.0,0.07,0.053426374293279295,0.0019841854287601687,0.0011554453666288607,0.04745956543307953,0.003716003962091911,0.04316290178153052
8.0,0.08,0.06264300080855026,0.0021260659244026012,0.0012105919670997263,0.05604246722357068,0.005269791347389517,0.05071140255398453
9.0,0.09,0.07244720206403957,0.0020476889461773615,0.00042649114304359946,0.0654584115566356,0.005347786898953655,0.057373635745973726
10.0,0.1,0.08584112802051884,0.0024793832027159533,0.0005661671789134872,0.07439723008688251,0.00633770373979565,0.06631982171980255
11.0,0.11,0.09610730058906722,0.0031091574773919675,0.00023974572915870575,0.08474993497207817,0.006549463804905664,0.07782184731197012
12.0,0.12,0.10783169401095559,0.0059723987165768155,0.0001004741868210165,0.09406220269678768,0.00816442703025146,0.08756917242472885
13.0,0.13,0.11878311031172278,0.005876839517107266,0.0006237545971848144,0.10556192625183261,0.008461752940595231,0.09514817037045813
14.0,0.14,0.1289381089982078,0.004932913827838607,8.372669514396637e-05,0.11375543618237316,0.008415653097059552,0.10919608319869001
15.0,0.15,0.14971562719622566,0.005266552282261375,0.0009807057555312046,0.12348517105793363,0.009826482667343848,0.1143809790199069
16.0,0.16,0.1577136247742,0.007154725835388796,-2.038670941644794e-05,0.13549597251252338,0.00888778106292707,0.12934953328728596
17.0,0.17,0.17260777738398592,0.007870571422818997,-0.0018710476340096178,0.14840936902040808,0.011838097349464593,0.13530363309035914
18.0,0.18,0.18491464054366835,0.0052917184305155,-0.004964543083519339,0.15458462218012017,0.015353999283208837,0.14442509342499985
19.0,0.19,0.1934699553122755,0.007235854178507121,0.0017724966026099436,0.17253755967559553,0.015409104239546174,0.15854917728977902
20.0,0.2,0.21028534836830887,0.011531793110792539,-0.003240077522268387,0.1709287303992285,0.018190349420214646,0.1673326040195503
21.0,0.21,0.2247190642322436,0.010773608696748016,0.00014292410546464616,0.1902172414526471,0.016786486320341118,0.16939483694205515
22.0,0.22,0.23839835170141027,0.012208466102256958,-0.003971825059932438,0.20574278434142032,0.014563074624428404,0.19316204940095327
23.0,0.23,0.23997265987354455,0.013545916631484186,0.0046288463270989354,0.21148757217302877,0.0200303626040427,0.20765934303541553
24.0,0.24,0.2620161950178935,0.014299083892766956,-0.009743640307084302,0.21811774781275461,0.016744177295969467,0.2119791638627791
25.0,0.25,0.2684569103747081,0.01637902124278754,0.0004919781908778231,0.22469759564078454,0.022289560721686977,0.21716592461485373
26.0,0.26,0.2784653511395251,0.017393071470929302,-0.001583319937162929,0.24636786292425925,0.020501297148642947,0.22918798794004286
