nrep,D_mean,D_std,D_se
1.0,1.3805431185481445,0.0,0.0
2.0,1.2234254507147233,0.15711766783342118,0.1110989683692276
3.0,1.0732038803562896,0.24817402784910816,0.1432833417845563
4.0,1.0530407454377066,0.21774392552577063,0.10887196276288531
5.0,1.0557801384516061,0.1948331357316724,0.08713202715309254
6.0,1.067268467500752,0.17970309078469077,0.0733634796039224
7.0,1.0736393415040337,0.16710300609383935,0.06315899963651567
8.0,1.0877488080936488,0.1607063382290887,0.05681827077072375
9.0,1.0761423768726732,0.15503092267368943,0.05167697422456314
10.0,1.07401591983322,0.14721353423654931,0.04655300705906727
11.0,1.0970156594463019,0.15808712473414735,0.0476650615390254
12.0,1.0859301652959894,0.1557584050453568,0.044963578540741754
