nstep,msd_x,msd_y,msd_z
0.0,0.0,0.0,0.0
1.0,0.0002923149317283989,4.9655839956095615e-05,0.005200193907016889
2.0,0.0028727080855224995,0.00010758585196959706,0.011950134339888877
3.0,0.008632561698096399,0.00012239992590249945,0.014073798179641592
4.0,0.0111708009778401,0.00019117320837160455,0.011477775377984395
5.0,0.010504585465934396,0.0023421970140625136,0.00862781828460249
6.0,0.008481279049699595,0.008349050713459594,0.004316500512006377
7.0,0.008074864530062495,0.016028471532960036,0.00028554645953439303
8.0,0.011036782046088099,0.01994004098882409,0.0008732509626724052
9.0,0.023127045904124097,0.021484690872964937,0.009006797687222514
10.0,0.0483496419056704,0.025173090796090064,0.02929702246751296
11.0,0.0858767258982361,0.029065080669825702,0.061510289440782503
12.0,0.12329245948766762,0.03338200132305651,0.09860543278560056
13.0,0.1282570754122009,0.03198994449472891,0.13994874497561777
14.0,0.0989852913477184,0.02373574690881008,0.1852853773964944
15.0,0.05680767642783209,0.018093798283976177,0.22564800958660872
16.0,0.03442384849322249,0.01263237077419247,0.25471300548100023
17.0,0.036224511577664396,0.0025431970032144136,0.25408549627272387
18.0,0.05695922089091611,0.0016135421339663774,0.24359902554855037
19.0,0.08129901425323238,0.015955006810396844,0.2518240550941479
20.0,0.09822290714051558,0.03072045276169998,0.29175780934521034
21.0,0.1040866067151936,0.038734164291400856,0.34847431397143724
22.0,0.09806141312280812,0.03603923319360027,0.40855443449371703
23.0,0.08219207924439209,0.02991605408025628,0.46794808461063625
24.0,0.06952007595555998,0.032574340697976864,0.49402592763724823
25.0,0.06268033489536809,0.05173705987915227,0.5218591015713856
26.0,0.051597558628921604,0.09703763902482246,0.560129188388484
27.0,0.044817656357276095,0.1496282270148863,0.5818673336292445
28.0,0.03842474209728999,0.1835770718351025,0.5482310613061128
29.0,0.02847207055215609,0.20517678390451333,0.5018406051622682
30.0,0.021675677636624393,0.23167521885531006,0.4771434647127188
31.0,0.025627172006312093,0.24887513816877663,0.5138254215734689
32.0,0.0392126134730625,0.266210366915408,0.62822008628329
33.0,0.0639882455626404,0.29018077506648987,0.7375679277150626
34.0,0.10921232441549437,0.3306372361132095,0.7551275612501774
35.0,0.1666130675973696,0.39631838303153244,0.7076470000767049
36.0,0.2209599572678884,0.4921732864533967,0.6684259864126333
37.0,0.26360470693176014,0.5599926254349022,0.6469020932690178
38.0,0.32393564964690247,0.5851138048823823,0.6384168202980103
39.0,0.39389187697696365,0.5891587157055623,0.6481006722090001
40.0,0.43525269805318556,0.5859205762611598,0.6383327512441443
41.0,0.4484051002785249,0.6066384769,0.5896005485273406
42.0,0.48999281802631695,0.60908706186409,0.5544137022117447
43.0,0.5973993903891457,0.552211520919609,0.572051178842423
44.0,0.7519155121415844,0.4598083129233885,0.6242147764765696
45.0,0.8879015677503842,0.41097153982718415,0.679453443582916
46.0,0.9480079341758602,0.3799993462063568,0.7185846937890623
47.0,0.9348358178600463,0.32216064440848047,0.7442279110136025
48.0,0.9126556763924197,0.2417319745732513,0.7300814017929602
49.0,0.9017714211029316,0.17213516421806233,0.6656478873039008
50.0,0.8730357854995457,0.10900149863906251,0.5926841270532365
51.0,0.8407433500275364,0.050359062668062386,0.5125640554029242
52.0,0.7902867205317183,0.015467011398273537,0.4258012606395605
53.0,0.7568948670087026,0.002709287862672382,0.33387070581501166
54.0,0.7559354600813399,7.374258002249989e-05,0.26665779554885605
55.0,0.7739294475027599,7.049012930560631e-05,0.2340189967760102
56.0,0.7710089620237456,0.0003247834730625141,0.2115423383287827
57.0,0.7393578438246401,0.00036897185064959997,0.17074416520824015
58.0,0.6885724047549169,0.0003013907795721115,0.12156557377250267
59.0,0.6308229914501956,0.0014453812501488972,0.07561720670078895
60.0,0.5943596777015077,0.0080000287826944,0.04276192626078498
61.0,0.5856315456805489,0.026024539248712893,0.02364917418109442
62.0,0.618890077196749,0.04615544358571244,0.011633531523322537
63.0,0.7002706914823683,0.05728810655843558,0.0056600735035716295
64.0,0.8047321269300768,0.07285078191014574,0.0031419186299524128
65.0,0.8726801841526609,0.10072617970625433,0.001200431932562509
66.0,0.9022675499695225,0.13487058670223592,0.00020515233945959715
67.0,0.9570886560104465,0.15989258603380432,0.003772846352249982
68.0,1.0455724272471696,0.16655808993178448,0.007405373528070369
69.0,1.1168978287791769,0.1560653084030407,0.007675732878787575
70.0,1.1274005311616164,0.13585670829750293,0.009151778831904876
71.0,1.0910973415916023,0.1209039270222568,0.013707822405768054
72.0,1.069327464754068,0.11424922553975302,0.019991827744851552
73.0,1.0819927812529924,0.11088361212544844,0.02632637349632156
74.0,1.1221284389358097,0.11313950267986572,0.03453765038388638
75.0,1.165761612973448,0.13928494275264058,0.04435648785603993
76.0,1.16333891500761,0.18727662171699638,0.049342270013439986
77.0,1.129607842722612,0.2401902860860943,0.05539918282949609
78.0,1.1258533742512646,0.286924768479888,0.06978078032667034
79.0,1.162251980029968,0.3303888436850527,0.09102398819131234
80.0,1.2097570441969936,0.36147010578434596,0.10003159616839839
81.0,1.2196492428428358,0.34431142559391387,0.08593423140406807
82.0,1.1764059458138003,0.29590081512587546,0.06066306439961285
83.0,1.1026526332823823,0.2542559505592401,0.03987725031655206
84.0,1.0219075081692484,0.2291365911549797,0.028893798732697595
85.0,0.9681277890445226,0.2087854544144214,0.02405946264987686
86.0,0.9348695812331715,0.20458503265799327,0.023887600411699586
87.0,0.9584943758231077,0.2303769509764799,0.027087053684102434
88.0,1.011967412082128,0.28812214025401,0.0321290639874724
89.0,1.0722456702095617,0.3516571478671969,0.029083533467102452
90.0,1.1248771539171076,0.39898582823556283,0.014699603165286373
91.0,1.1819169308296007,0.44200129569796853,0.002137947095443593
92.0,1.2467773371545854,0.4848516686326688,0.0005942532428361102
93.0,1.2846360226986222,0.5217764624937221,0.004924299050222519
94.0,1.2815683340640622,0.5396029428744238,0.00510335069630762
95.0,1.2046787612263878,0.5684634624938255,0.000728645803033602
96.0,1.0821373307188902,0.6094445715758767,0.004112464512249976
97.0,0.9364428642120484,0.6510553021248013,0.030489535633000858
98.0,0.7727168419810597,0.6838084287144097,0.060096321073160076
99.0,0.6262031372468004,0.7123514959242732,0.07266083068829285
100.0,0.5692636255092721,0.7330540042556328,0.08217791728894804
101.0,0.58272703926336,0.7618192387014054,0.10108581180600248
102.0,0.6078078901341226,0.7751688531418283,0.12348765977377206
103.0,0.6368654155607104,0.7354680176962632,0.1505031230951823
104.0,0.6679772140596129,0.6798163608254538,0.19332398085161287
105.0,0.7147882726703104,0.6574494727894572,0.24847555105716834
106.0,0.8027329608673955,0.6849516863428874,0.27656755994754806
107.0,0.907100827706928,0.7742556515272806,0.2649436168710276
108.0,0.9908201247842704,0.9011129633380907,0.25503583741513286
109.0,1.0619863923820176,1.0386130547542687,0.2629337907784899
110.0,1.148408838921792,1.1956952080926797,0.28369850923827344
111.0,1.1789884811287696,1.3535284822785052,0.32257234814752084
112.0,1.1736740463992645,1.4832430937787024,0.3731565124825443
113.0,1.2129346191822723,1.5766946675649016,0.43578771101799607
114.0,1.2964950148150225,1.6218662567415179,0.5023205664928928
115.0,1.3910545587736578,1.6132177442475093,0.5645740834041023
116.0,1.5336969264580327,1.5806770847450367,0.6377115533640335
117.0,1.73643001052689,1.5201507345238454,0.7280076785569954
118.0,2.001025146609922,1.483815506078516,0.8329004163970881
119.0,2.3503081627893905,1.5148167499163678,0.9409891839132407
