nrep,D_mean,D_std,D_se
1.0,0.7093129006474369,0.0,0.0
2.0,1.0373091838317432,0.32799628318430635,0.23192839604360618
3.0,1.1320582633115974,0.29945920809525833,0.17289285440510957
4.0,1.1116659913980111,0.2617334469382397,0.13086672346911984
5.0,0.8229123075758406,0.6231518895746319,0.27868199707926383
6.0,0.877532609632603,0.5818208070797128,0.23752734984659785
7.0,0.7968747802949891,0.5737510034240174,0.21685749564767406
8.0,0.9801215295468559,0.7232544745581905,0.2557090717418049
9.0,0.9270454674742908,0.6982203728875425,0.23274012429584748
10.0,0.834528709846254,0.718188467034762,0.22711113450946024
11.0,0.9207968645273492,0.7371066370457819,0.2222460132328673
12.0,0.9917417330240967,0.7439179588761289,0.21475061690606498
