1            0.00000000       0.00000000       0.00000000       0.00000000
2            0.00274963       0.00001022       0.00242766       0.00031176
3            0.00932076       0.00014368       0.00487801       0.00429906
4            0.01779638       0.00077230       0.00339411       0.01362998
5            0.02539501       0.00166243       0.00175976       0.02197281
6            0.03206557       0.00407355       0.00339028       0.02460174
7            0.03663272       0.00628402       0.01347778       0.01687092
8            0.04654088       0.00483274       0.03648793       0.00522020
9            0.06415630       0.00172900       0.06169647       0.00073083
10           0.07940230       0.00003059       0.07920778       0.00016393
11           0.08766965       0.00383286       0.08382962       0.00000717
12           0.09219253       0.01813984       0.07252032       0.00153237
13           0.10644560       0.03725041       0.06031518       0.00888001
14           0.13356521       0.06027706       0.05494299       0.01834516
15           0.17534560       0.09200108       0.05664681       0.02669771
16           0.22242572       0.13656666       0.05302687       0.03283220
17           0.27515507       0.17987991       0.04858722       0.04668793
18           0.31781358       0.20902581       0.04371225       0.06507552
19           0.34897997       0.22701281       0.03501917       0.08694799
20           0.38914301       0.25336761       0.02753397       0.10824143
21           0.44337702       0.28792223       0.02802208       0.12743271
22           0.50555180       0.31576572       0.04061040       0.14917568
23           0.57596183       0.32741094       0.07038294       0.17816795
24           0.63753288       0.31889812       0.10486940       0.21376537
25           0.67278409       0.29821566       0.11529615       0.25927228
26           0.69827676       0.28591836       0.09750964       0.31484876
27           0.69812148       0.28096321       0.07385928       0.34329899
28           0.66695019       0.26975726       0.05650139       0.34069154
29           0.57395821       0.23502197       0.04064896       0.29828727
30           0.47267844       0.18490510       0.02997842       0.25779492
31           0.39762000       0.14061716       0.02520667       0.23179616
32           0.34820040       0.11987484       0.02075808       0.20756749
33           0.30885409       0.11757094       0.01355893       0.17772422
34           0.25875684       0.11070984       0.00863793       0.13940907
35           0.19758151       0.08916126       0.00645633       0.10196393
36           0.14796656       0.06544119       0.00548486       0.07704051
37           0.12993533       0.05567877       0.00371484       0.07054172
38           0.14039152       0.06356474       0.00206744       0.07475934
39           0.17396160       0.09334699       0.00085729       0.07975732
40           0.21988131       0.14093514       0.00000810       0.07893807
41           0.26212092       0.18914799       0.00061810       0.07235483
42           0.26426369       0.20781404       0.00354739       0.05290226
43           0.23092320       0.19421735       0.00665804       0.03004781
44           0.18703786       0.16800635       0.00872819       0.01030332
45           0.18115833       0.16087939       0.01757522       0.00270372
46           0.25398133       0.21079737       0.04277991       0.00040404
47           0.39235072       0.31478632       0.07754068       0.00002372
48           0.53947052       0.44398374       0.09507478       0.00041199
49           0.63046774       0.54683024       0.08230520       0.00133230
50           0.67768509       0.61469161       0.05955190       0.00344158
51           0.70858695       0.65981462       0.04130558       0.00746675
52           0.71716784       0.66813763       0.03653760       0.01249261
53           0.73011093       0.66472138       0.04909827       0.01629129
54           0.79423231       0.69628633       0.07966991       0.01827608
55           0.89594434       0.75964244       0.11204700       0.02425490
56           0.99631517       0.83370338       0.12373895       0.03887283
57           1.08568055       0.90698351       0.11580989       0.06288715
58           1.14705792       0.95427963       0.09579319       0.09698510
59           1.19128976       0.97964449       0.06985679       0.14178848
60           1.23866380       1.00874108       0.04891406       0.18100866
61           1.30683802       1.07229013       0.04331658       0.19123131
62           1.33948622       1.13827224       0.04804977       0.15316422
63           1.32308693       1.17816944       0.05419246       0.09072503
64           1.24521817       1.15282954       0.04717121       0.04521742
65           1.16459609       1.09592388       0.03472440       0.03394780
66           1.09515313       1.02506679       0.02491974       0.04516660
67           1.03051942       0.94014945       0.01926957       0.07110040
68           0.98698935       0.86488439       0.01569183       0.10641313
69           0.98314638       0.82661451       0.01438129       0.14215058
70           1.02221286       0.81844219       0.01918201       0.18458866
71           1.09752112       0.84792262       0.02904784       0.22055067
72           1.12672471       0.86572918       0.04077635       0.22021919
73           1.06109166       0.82443707       0.04056198       0.19609261
74           0.94723338       0.75101752       0.02345820       0.17275767
75           0.85388300       0.66105578       0.00472355       0.18810367
76           0.82500079       0.57755277       0.00035663       0.24709139
77           0.85088303       0.50536082       0.01541881       0.33010339
78           0.90565113       0.45172937       0.04998701       0.40393475
79           0.96208497       0.40185264       0.08260612       0.47762622
80           0.98356936       0.35577178       0.08083787       0.54695970
81           0.92842858       0.29750826       0.05832829       0.57259203
82           0.83223048       0.24488321       0.03639200       0.55095527
83           0.80798547       0.23052757       0.02852778       0.54893011
84           0.90133678       0.25756488       0.04330159       0.60047030
85           1.07842442       0.30398141       0.08270335       0.69173966
86           1.25367568       0.34251649       0.13119703       0.77996217
87           1.33725060       0.34751525       0.17578426       0.81395109
88           1.40271031       0.34805850       0.22508812       0.82956369
89           1.53619935       0.38725216       0.27761706       0.87133013
90           1.68417024       0.43646572       0.30982840       0.93787613
91           1.77916254       0.48642547       0.28125168       1.01148539
92           1.77692651       0.52559538       0.21104235       1.04028878
93           1.74681516       0.56457368       0.14446749       1.03777400
94           1.79901215       0.60150879       0.11876344       1.07873992
95           1.93021936       0.63101806       0.13525613       1.16394518
96           2.07351096       0.66632127       0.17967275       1.22751695
97           2.13036930       0.69776167       0.20602933       1.22657829
98           2.11305822       0.72084472       0.20678763       1.18542586
99           2.15974973       0.77291944       0.20886519       1.17796511
100          2.24614505       0.82912257       0.22004032       1.19698216
101          2.25955275       0.83405183       0.20865285       1.21684808
102          2.17466950       0.80965480       0.16451249       1.20050222
103          2.30724208       0.88330768       0.15033739       1.27359700
104          2.63044850       1.01496802       0.17170541       1.44377508
105          2.88026139       1.07704991       0.18479192       1.61841956
106          2.96102016       1.08922350       0.18830595       1.68349071
107          3.01457630       1.11254125       0.19327236       1.70876269
