0     340        -3.73627003      3.80829458      0.69732132
1     340        -3.75832305      3.79548382      0.64709868
2     340        -3.76094396      3.79813693      0.60980772
3     340        -3.76924509      3.80321235      0.58052377
4     340        -3.80755187      3.80607737      0.57539533
5     340        -3.88153567      3.80051535      0.59015155
6     340        -3.95598202      3.78367055      0.60354592
7     340        -3.98298224      3.75145227      0.60314698
8     340        -3.98492657      3.71128849      0.59268133
9     340        -4.01142253      3.66974446      0.55268516
10    340        -4.07124930      3.63108308      0.50442158
11    340        -4.13329620      3.61083419      0.49720322
12    340        -4.15074021      3.62359565      0.54231506
13    340        -4.12520334      3.67407738      0.58859732
14    340        -4.09501878      3.75696654      0.61253551
15    340        -4.06073322      3.84456853      0.63188793
16    340        -4.02476578      3.92071520      0.65425265
17    340        -3.99315046      3.96216802      0.64641672
18    340        -3.97678536      3.97952320      0.61611063
19    340        -3.97422442      3.99024358      0.57951646
20    340        -3.98543592      4.01368866      0.53466672
21    340        -4.01188299      4.03153129      0.49276412
22    340        -4.02557740      4.04014506      0.48448386
23    340        -4.03055258      4.05317072      0.52771976
24    340        -4.03699634      4.07534730      0.57805785
25    340        -4.05249188      4.09020213      0.57449667
26    340        -4.05658768      4.05920667      0.48787260
27    340        -4.05635494      3.98294563      0.40195580
28    340        -4.05406865      3.88074993      0.36684262
29    340        -4.05838513      3.76216119      0.37707412
30    340        -4.08422984      3.64360298      0.39660548
31    340        -4.12589723      3.57911833      0.40841631
32    340        -4.16283061      3.58370379      0.43295586
33    340        -4.16916041      3.61430360      0.47839506
34    340        -4.14514091      3.62615229      0.52441985
35    340        -4.09715843      3.62073486      0.56649362
36    340        -4.06000209      3.61008760      0.61986983
37    340        -4.02291799      3.59703743      0.67701582
38    340        -3.99078431      3.56488061      0.73592259
39    340        -3.98614793      3.51601745      0.78108158
40    340        -4.01821887      3.48602888      0.82796067
41    340        -4.07678123      3.48600519      0.88050607
42    340        -4.15291772      3.49200885      0.93313386
43    340        -4.21230136      3.49908266      0.98786765
44    340        -4.23520112      3.53179392      1.05066118
45    340        -4.22537405      3.58798740      1.13152254
46    340        -4.19801698      3.63988030      1.23144005
47    340        -4.17571414      3.67005850      1.33284538
48    340        -4.17260769      3.68744238      1.39376211
49    340        -4.20937770      3.70639443      1.40576801
50    340        -4.27548264      3.71286548      1.41228771
51    340        -4.35042936      3.69557775      1.42763650
52    340        -4.38494715      3.65199709      1.44702606
53    340        -4.36345170      3.61229684      1.46937413
54    340        -4.29797719      3.60006693      1.50283417
55    340        -4.20755272      3.60652008      1.54641125
56    340        -4.11879879      3.62668356      1.58782440
57    340        -4.05087661      3.66141615      1.60061371
58    340        -3.99625977      3.69173299      1.58088390
59    340        -3.94993090      3.68782819      1.56432478
60    340        -3.92404304      3.65568327      1.57614817
61    340        -3.90976674      3.62793811      1.60879100
62    340        -3.89598585      3.61005818      1.64790600
63    340        -3.88512020      3.58403511      1.70039714
64    340        -3.87812119      3.53748352      1.75672526
65    340        -3.86436832      3.48498054      1.78656402
66    340        -3.85249079      3.44655558      1.79271296
67    340        -3.84944899      3.41770694      1.80774839
68    340        -3.84211993      3.39005741      1.83332875
69    340        -3.82608732      3.37085548      1.85205977
70    340        -3.80279980      3.36911398      1.85959541
71    340        -3.78071409      3.37125097      1.87551882
72    340        -3.74512154      3.38092063      1.89370999
73    340        -3.72126118      3.38996658      1.89778889
74    340        -3.73855817      3.38376364      1.88249745
75    340        -3.77676923      3.36142206      1.84395623
76    340        -3.79638674      3.33949999      1.80781779
77    340        -3.79632040      3.33955867      1.79447155
78    340        -3.78211054      3.37695575      1.82908342
79    340        -3.77699788      3.42589915      1.88564632
80    340        -3.79734066      3.46176303      1.94657730
81    340        -3.84441494      3.47732015      1.98866956
82    340        -3.91951034      3.48615160      1.99926664
83    340        -4.02302763      3.50976012      1.99258290
84    340        -4.12051230      3.55943058      1.97877823
85    340        -4.16205507      3.62525870      1.98165499
86    340        -4.15356789      3.69456838      2.00109861
87    340        -4.13003336      3.73306384      2.03198948
88    340        -4.09946641      3.73103001      2.05417713
89    340        -4.06260438      3.72769785      2.06401791
90    340        -4.03775388      3.74736903      2.06666421
91    340        -4.04150280      3.74865882      2.05126797
92    340        -4.06883653      3.71737771      2.00909585
93    340        -4.09013663      3.68780740      1.96500939
94    340        -4.10086230      3.70821400      1.92504292
95    340        -4.12712136      3.76751469      1.90547986
96    340        -4.17573342      3.82186820      1.90598069
97    340        -4.23478774      3.85811461      1.93038730
98    340        -4.28179751      3.86829500      1.96798957
99    340        -4.32620861      3.87761927      1.97705024
100   340        -4.37311453      3.87742636      1.94236698
101   340        -4.41556089      3.87036215      1.87780417
102   340        -4.42709506      3.86970122      1.81562577
103   340        -4.41716690      3.89672483      1.78122964
