nrep,D_mean,D_std,D_se
1.0,1.0503036957553091,0.0,0.0
2.0,0.6635659877677009,0.38673770798760815,0.27346485585858055
3.0,0.39732168211941116,0.4914089577598468,0.28371509404484097
4.0,0.3404806616040301,0.4368120621785233,0.21840603108926165
5.0,0.3459303311162243,0.39084858669680744,0.17479280175275627
6.0,0.3303807917964352,0.35848447986074866,0.1463506760609778
7.0,0.34952604366110424,0.33518895351355327,0.12668951617326452
8.0,0.6249684878359807,0.7933394359346015,0.28048784746603367
9.0,0.5883890166158513,0.7550893869333059,0.25169646231110193
10.0,0.5111698325005881,0.7528673227018332,0.2380775515650785
11.0,0.49477463821675777,0.7197007155401324,0.2169979304360839
12.0,0.48484979681903,0.6898467611465372,0.19914160662377237
13.0,0.5114203922730398,0.6691440058328362,0.18558715566920506
14.0,0.48388755146616075,0.652400213487168,0.17436129128051134
15.0,0.534578768543344,0.6581985735046995,0.16994614091207863
