nrep,#hops,D_nonhop (mean),D_nonhop (SE),D_hop,D_tot
1.0,22.0,0.9883232200411615,0.0,0.1297660480173724,1.118089268058534
2.0,35.0,0.983061423366325,0.0037206521100017196,0.09938374422644586,1.0824451675927709
3.0,50.0,0.960190066816932,0.018838396696792162,0.10025460493365457,1.0604446717505867
4.0,71.0,0.9435398454007871,0.020187751839653975,0.10833492970387885,1.051874775104666
5.0,78.0,0.9201958401260761,0.02639664890454535,0.09794473109206973,1.018140571218146
6.0,100.0,0.9046618677004784,0.026171817865747425,0.10581157971558598,1.0104734474160644
7.0,119.0,0.8991925032810776,0.02299737855278981,0.10596026100003338,1.0051527642811109
8.0,146.0,0.8948165234247552,0.020534820571592574,0.11590851171779026,1.0107250351425454
9.0,157.0,0.8877391445762486,0.019434561220461416,0.11248340981169004,1.0002225543879386
10.0,182.0,0.8859339346794023,0.017574745006921542,0.11690195996287604,1.0028358946422784
11.0,194.0,0.8850019252070781,0.016001734613629023,0.11395927838757772,0.9989612035946558
12.0,204.0,0.882142927729178,0.014921476686406249,0.10836515080169726,0.9905080785308753
13.0,226.0,0.880606918153446,0.013852503232532676,0.10812753364156967,0.9887344517950157
14.0,239.0,0.8781085596135932,0.013086394380152076,0.10440189319362173,0.9825104528072149
15.0,255.0,0.8756260083700356,0.012447216814342344,0.1026439395397615,0.978269947909797
