nstep,msd_oh,msd_ohx,msd_ohy,msd_ohz
1,0.0,0.0,0.0,0.0
2,0.00274963181321279,1.0219785985595603e-05,0.002427655091137594,0.00031175693608960004
3,0.009320760605988535,0.0001436824152976236,0.004878013918128415,0.004299064272562495
4,0.01779638372280812,0.0007722985508675852,0.003394108750640421,0.013629976421300115
5,0.025395009698360577,0.0016624301898680498,0.0017597647452025002,0.02197281476329003
6,0.0320655650679677,0.004073548929409589,0.0033902787212100197,0.02460173741734809
7,0.03663271992955352,0.0062840214461125045,0.013477777364068915,0.0168709211193721
8,0.046540875942149854,0.004832743981843708,0.03648793362942254,0.005220198330883598
9,0.06415629773956055,0.0017290020148129004,0.06169646938230764,0.0007308263424400058
10,0.07940229900221404,3.0592735344899685e-05,0.07920777563033754,0.00016393063653160432
11,0.08766964768861941,0.003832862958414436,0.08382961866890248,7.166061302499466e-06
12,0.09219253109423028,0.018139839117008526,0.07252031945824086,0.00153237251898089
13,0.10644560359021146,0.03725040891332236,0.06031517996042022,0.008880014716468872
14,0.13356521310147534,0.06027706036237686,0.054942994336608514,0.01834515840248996
15,0.17534559714263676,0.09200107509590423,0.05664680843481005,0.026697713611922472
16,0.22242572292372165,0.13656665556654718,0.05302687037740955,0.0328321969797649
17,0.27515507126384775,0.1798799119711497,0.048587224710009966,0.04668793458268809
18,0.31781358034193175,0.20902581414742843,0.043712251087562534,0.06507551510694079
19,0.3489799709692444,0.227012807043132,0.03501917138281007,0.08694799254330235
20,0.3891430055449353,0.25336760501819544,0.02753396624630444,0.10824143428043542
21,0.4433770154816953,0.287922228080822,0.028022080360120938,0.12743270704075232
22,0.5055518004199522,0.31576571825112143,0.04061039906884837,0.1491756830999824
23,0.5759618298977238,0.3274109402987555,0.07038294390866566,0.17816794569030264
24,0.6375328848545542,0.31889811822342284,0.10486939867670265,0.2137653679544287
25,0.6727840925450028,0.29821566424838647,0.11529615152523683,0.25927227677137954
26,0.6982767561780637,0.28591835597395526,0.09750963632000904,0.31484876388409944
27,0.698121480814275,0.28096321135573715,0.0738592807660097,0.3432989886925282
28,0.6669501878991304,0.26975725680619206,0.05650138983404424,0.34069154125889417
29,0.5739582094281082,0.23502197432742153,0.040648963068174525,0.29828727203251215
30,0.47267844371860124,0.18490509983516498,0.02997842226612842,0.2577949216173078
31,0.3976199970536707,0.14061716260920284,0.025206671333888195,0.23179616311057963
32,0.34820040170211114,0.11987483897189159,0.020758075312156975,0.20756748741806258
33,0.3088540916271322,0.11757093929271593,0.013558928000696127,0.1777242243337201
34,0.25875684117326236,0.11070983850557423,0.00863793282263044,0.1394090698450577
35,0.19758150954277376,0.08916125530539269,0.006456326590612896,0.10196392764676816
36,0.14796656122523844,0.0654411914338575,0.005484861382022538,0.0770405084093584
37,0.1299353304197473,0.05567876861297991,0.003714837893280921,0.07054172391348647
38,0.14039151634047614,0.06356474147783978,0.00206743632666492,0.07475933853597146
39,0.17396160060876503,0.0933469921507594,0.0008572856067136157,0.07975732285129203
40,0.21988130555159557,0.14093513830862345,8.100797516100465e-06,0.07893806644545605
41,0.26212091914154373,0.1891479867375604,0.0006181031324223943,0.07235482927156096
42,0.2642636947132685,0.20781403788906222,0.0035473935999999805,0.052902263224206325
43,0.23092320289456608,0.19421735377295954,0.006658036138304077,0.03004781298330248
44,0.18703786387052515,0.1680063526462082,0.008728191386544066,0.010303319837772874
45,0.18115832512779145,0.16087938901115292,0.017575215869402437,0.0027037202472360963
46,0.25398133144524804,0.2107973725655619,0.042779914708963654,0.00040404417072249793
47,0.39235071734165294,0.3147863150084047,0.07754068445923823,2.3717874009999886e-05
48,0.5394705174419753,0.4439837416731032,0.09507478279715993,0.0004119929717121031
49,0.6304677390008618,0.5468302415016832,0.08230520077876896,0.001332296720409606
50,0.6776850911363551,0.6146916097957447,0.05955190498210799,0.003441576358502506
51,0.7085869544413207,0.6598146217092686,0.04130557896030762,0.0074667537717444015
52,0.7171678416565173,0.6681376267378605,0.03653760377953433,0.012492611139122504
53,0.7301109348895727,0.6647213788019796,0.04909826807806412,0.0162912880095289
54,0.7942323134124617,0.696286325247552,0.07966991162878814,0.018276076536121594
55,0.8959443391656257,0.7596424402485947,0.11204699803900846,0.024254900878022505
