Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
1.0,0.01,39.785772261130916,1.7619393317326444,-2.2876588624336436,24.69797250208315,-2.3542208937768034,6.042645802656602
2.0,0.02,1.9269693995941939,-0.005754866244311716,-0.020971320552717998,1.3075406257423456,-0.012294770883269041,0.10729148679743222
3.0,0.03,39.95709111753986,1.9430483847858246,-2.3441257600023495,24.788196308327862,-2.361827302750456,5.964111240098228
4.0,0.04,3.092721460098382,-0.001814036182130829,-0.03402091716063407,2.121220176019306,-0.0033511855611787138,0.15971635097503406
5.0,0.05,40.03907981356684,2.1335315341295598,-2.332243907688317,24.560670045302277,-2.3268494328242655,5.936747451213185
6.0,0.06,4.390696840402978,0.005067590467559744,-0.02784271201295182,2.9620890854743736,0.007952807643615977,0.20907880237951382
7.0,0.07,39.72694615932343,2.230442683308145,-2.276888347041903,24.99544711182635,-2.5015556528869194,5.901079520718876
8.0,0.08,5.726011520749037,0.12331189025517468,-0.009049689968350408,3.5685833843228854,-0.058465600350035896,0.2389598309641973
9.0,0.09,40.65657984526348,2.1252689505795126,-2.402327861694559,25.758139059317084,-2.301933486178539,5.892130288263933
10.0,0.1,5.4669297836569735,0.20296262411780297,-0.09216003107882854,4.680716079570806,-0.08022348121533461,0.28078856951154124
11.0,0.11,41.30434634544147,1.9690373909799797,-2.161994993844587,26.325815259658132,-2.329115799836649,5.7969674807157405
12.0,0.12,6.928598040607967,-0.06169810288564364,-0.16101126228141646,5.230670355518916,-0.04274308159557844,0.29937754580805087
13.0,0.13,42.52169854710946,2.1125850280487013,-2.361570748620623,25.5335198894822,-2.3640750032641176,5.834315536490166
14.0,0.14,7.702973909037446,0.1689764199082254,-0.13505053110619814,5.605953930498116,-0.030767136879691105,0.36889945582081485
15.0,0.15,40.420365433404854,2.439235561435664,-2.229916550967672,26.185730867934975,-2.3384120588674207,5.827987414247073
16.0,0.16,8.219663180421598,0.40652727326883303,-0.22946784651278984,7.283959517363074,-0.0913100052336788,0.37970157784778
