nrep,D_mean,D_std,D_se
1.0,0.6489017779702894,0.0,0.0
2.0,1.0071036224931695,0.3582018445228801,0.25328695329565787
3.0,0.8569639740217673,0.3614178593160944,0.2086646983660854
4.0,0.9053452744306386,0.32402068215197544,0.16201034107598772
5.0,0.6578557340019425,0.5735815656523612,0.2565134742878876
6.0,0.7399854649876881,0.5548780411998656,0.2265280117357821
7.0,0.6789772277422049,0.5350116225880981,0.20221538598532204
8.0,0.6160843063644812,0.527395860509236,0.18646259466789764
9.0,0.6034568246455133,0.49851465894715097,0.16617155298238365
10.0,0.5432989313003541,0.5061975186152364,0.16007371047496294
11.0,0.656042520394713,0.6000440995557793,0.18092010326301647
12.0,0.7490502509025135,0.6520761677675331,0.1882381754963624
13.0,0.745993531652123,0.6265839948560223,0.17378313244911178
14.0,0.7871051666963503,0.6217204150856768,0.16616177025810597
15.0,0.8854880738705885,0.7044685511093588,0.18189299775822768
