nrep,#hops,D_nonhop (mean),D_nonhop (SE),D_hop,D_tot
1.0,35.0,0.8770934236217106,0.0,0.21914196923291282,1.0962353928546233
2.0,74.0,0.8840768010546445,0.0049379935384126815,0.2261980622001751,1.1102748632548196
3.0,91.0,0.854381510725113,0.024468566518591417,0.1848860268477577,1.0392675375728708
4.0,104.0,0.8441895277979603,0.02036374676833976,0.16852583633591595,1.0127153641338762
5.0,123.0,0.8438063271168179,0.016294602510477693,0.154876316321462,0.99868264343828
6.0,143.0,0.8443416065360395,0.013587624573752682,0.1479614539735217,0.9923030605095612
7.0,164.0,0.8567238117388517,0.01634191164523459,0.1442045144894072,1.000928326228259
8.0,195.0,0.8734755961544587,0.021213458831011972,0.14842240526177652,1.0218980014162353
9.0,216.0,0.8870782059770833,0.02280430028859219,0.14398556826501757,1.031063774242101
10.0,236.0,0.9022311102367011,0.02505750800038547,0.14302618468298875,1.0452572949196899
11.0,266.0,0.9148364900235769,0.025755748242585624,0.14413412643677634,1.0589706164603532
12.0,282.0,0.9244245249565036,0.025331304921986212,0.1407200536000507,1.0651445785565543
