Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz,pred_msd_xx,pred_msd_yy,pred_msd_zz,xx_error,yy_error,zz_error
1.0,0.01,0.004513773572590181,0.0004331121023194168,0.0002009091221187254,0.004799037433495637,0.00034470979254933764,0.003317369125614038,-0.7493335756182837,-0.37077162359370963,1.0181923557285124,0.7538473491908739,0.37557066102720527,-1.0148749866028983
2.0,0.02,0.011673116065908533,0.0007944199654842621,0.00039681358912393647,0.012474033993963128,0.0006601674249041403,0.009528782296462146,-0.7264214062199055,-0.3507033121642281,1.0223949525629126,0.738094522285814,0.36317734615819125,-1.0128661702664505
3.0,0.03,0.02055482635975987,0.0012500428889152652,0.0006179489220646461,0.02220168108383595,0.0009717856922022121,0.017519283138320026,-0.7035092368215272,-0.33063500073474655,1.026597549397313,0.7240640631812871,0.3528366818185825,-1.009078266258993
4.0,0.04,0.030379976155816956,0.001802680160070634,0.0007863748353077848,0.03304418962442983,0.0012867992219619015,0.026753680880473515,-0.680597067423149,-0.310566689305265,1.0308001462317133,0.710977043578966,0.34361087892969483,-1.0040464653512398
5.0,0.05,0.04028422131369973,0.0023789777740734295,0.0009599199417283577,0.04448842180408102,0.001250934477208509,0.03698630850972499,-0.6576848980247707,-0.2904983778757835,1.0350027430661135,0.6979691193384704,0.3349867996798645,-0.9980164345563886
6.0,0.06,0.0498186553153152,0.0025588494035895344,0.001339382523614118,0.05574608439613379,0.001788118807424858,0.04684308050154033,-0.6347727286263924,-0.2704300664463019,1.039205339900514,0.6845913839417076,0.3261761508424357,-0.9923622593989736
7.0,0.07,0.061056907471328636,0.003749809897026683,0.001953877927238452,0.06920187007610597,0.0016208959785795867,0.05732759792565834,-0.6118605592280142,-0.25036175501682034,1.0434079367349143,0.6729174666993428,0.3195636250929263,-0.9860803388092559
8.0,0.08,0.07344154472965794,0.004379034055307152,0.0019426567921135014,0.08106042904241231,0.001914281205601097,0.06724604156697767,-0.5889483898296359,-0.23029344358733883,1.0476105335693144,0.6623899345592938,0.3113538726297511,-0.9803644920023368
9.0,0.09,0.08379435977078095,0.0038273617001021126,0.0023051590954604037,0.09460345519943988,0.0010556703561138017,0.07916059234666949,-0.5660362204312578,-0.2102251321578573,1.0518131304037148,0.6498305802020388,0.3048285873572972,-0.9726525380570453
10.0,0.1,0.09752007509308917,0.004951970747989706,0.0027754283125982155,0.10940873209940305,0.0016357394302995635,0.09279974720530121,-0.5431240510328795,-0.19015682072837573,1.0560157272381152,0.6406441261259687,0.29956555282777875,-0.963215980032814
11.0,0.11,0.10749693382170372,0.007592288045074151,0.002767661290594962,0.12261599654863883,0.0011849181434584349,0.10373476120611673,-0.5202118816345013,-0.17008850929889419,1.0602183240725154,0.6277088154562049,0.29270450584753305,-0.9564835628663987
12.0,0.12,0.12064512458583837,0.005473290579524141,0.002940625187088325,0.13635457323466638,0.0003861551070974003,0.11821864233249796,-0.497299712236123,-0.15002019786941265,1.0644209209069158,0.6179448368219613,0.28637477110407905,-0.9462022785744177
13.0,0.13,0.1380697576021726,0.007828248951071103,0.004479876018702026,0.1523586216080903,0.0027804454336790097,0.1310589418066856,-0.47438754283774476,-0.1299518864399311,1.0686235177413161,0.6124573004399174,0.2823105080480214,-0.9375645759346305
14.0,0.14,0.1491022856672553,0.006863197740107785,0.004814506632298632,0.17486468252106774,0.004576081132522242,0.1495239771217153,-0.4514753734393665,-0.10988357501044954,1.0728261145757163,0.6005776591066219,0.2847482575315173,-0.923302137454001
15.0,0.15,0.1664402433541379,0.011494385449594108,0.0019158954694230886,0.19126967609479933,-0.00021708689885868002,0.1658358009541732,-0.4285632040409883,-0.08981526358096803,1.0770287114101167,0.5950034473951262,0.28108493967576736,-0.9111929104559435
16.0,0.16,0.1774288942206158,0.00819752625254089,0.0029257388046317477,0.20421648378207935,0.0019088582020501867,0.17694017837991804,-0.40565103464261,-0.06974695215148646,1.081231308244517,0.5830799288632258,0.2739634359335658,-0.904291129864599
17.0,0.17,0.19119563459620761,0.009742170395368836,0.003110449046592813,0.2181234977198776,0.001324046069066992,0.18512556393859025,-0.38273886524423173,-0.049678640722004896,1.0854339050789172,0.5739344998404393,0.2678021384418825,-0.900308341140327
18.0,0.18,0.198276029945849,0.011959429662479253,0.003698183388674679,0.22548919868616282,0.0005863156694201011,0.20692639923435538,-0.35982669584585353,-0.029610329292523385,1.0896365019133176,0.5581027257917025,0.2550995279786862,-0.8827101026789622
19.0,0.19,0.21633046738467032,0.009320848366238156,0.004978741917408395,0.24801053841538406,0.0038562080511466814,0.22637817378649522,-0.33691452644747527,-0.009542017863041818,1.093839098747718,0.5532449938321455,0.2575525562784259,-0.8674609249612228
20.0,0.2,0.23465809343480468,0.008972788743110072,0.0032460502892218035,0.26876059677872083,-0.001314327122389683,0.24023942423055328,-0.314002357049097,0.010526293566439748,1.0980416955821184,0.5486604504839017,0.2582343032122811,-0.8578022713515652
21.0,0.21,0.23746445615427314,0.009457045670845128,8.964980150285288e-05,0.28284081878183165,0.008734724882221084,0.25376061796904764,-0.2910901876507188,0.03059460499592126,1.1022442924165186,0.528554643804992,0.2522462137859104,-0.8484836744474709
22.0,0.22,0.2654226815447576,0.016397396159644334,0.009149019147552619,0.297962535615158,0.0025651727608077325,0.26626213466280046,-0.26817801825234056,0.050662916425402826,1.106446889250919,0.5336006997970981,0.24729961918975518,-0.8401847545881185
23.0,0.23,0.2775424848617549,0.011208910262805794,0.01184488553455688,0.32883487970178127,0.0030019495695420375,0.29459214523612287,-0.2452658488539623,0.0707312278548844,1.1106494860853193,0.5228083337157172,0.2581036518468969,-0.8160573408491965
24.0,0.24,0.284945884575637,-0.005657213796052771,0.005104765102104747,0.320781310937152,0.001795976234569982,0.3049404411698928,-0.22235367945558404,0.0907995392843659,1.1148520829197195,0.507299564031221,0.2299817716527861,-0.8099116417498267
25.0,0.25,0.3085396050458404,0.00491136099956998,0.008431542469335584,0.35089270737532924,0.018249408666805193,0.31874919719017647,-0.19944151005720578,0.11086785071384747,1.1190546797541199,0.5079811151030462,0.24002485666148177,-0.8003054825639434
26.0,0.26,0.3201769240542162,0.010073129673829702,0.0028389063672859915,0.36711302226874076,0.0041702974606578815,0.3342967857124694,-0.17652934065882753,0.13093616214332898,1.1232572765885203,0.49670626471304374,0.23617686012541178,-0.7889604908760508
27.0,0.27,0.3098973540198358,0.013650358569153944,0.0005796151976105646,0.3727646769531041,0.003702103864222422,0.34621034249668364,-0.15361717126044927,0.1510044735728106,1.1274598734229204,0.4635145252802851,0.2217602033802935,-0.7812495309262368
28.0,0.28,0.3501101125299688,0.014103738164187772,0.0004874355678065523,0.41527935214151696,0.011787535075075383,0.3678087127081761,-0.130705001862071,0.17107278500229212,1.1316624702573208,0.48081511439203983,0.24420656713922484,-0.7638537575491446
29.0,0.29,0.35237570132313484,0.0029947409479903074,0.002788372560327204,0.41101650452734595,0.01309549125045322,0.3802395028646423,-0.10779283246369287,0.19114109643177363,1.1358650670917212,0.4601685337868277,0.21987540809557232,-0.7556255642270788
30.0,0.3,0.37575384393674627,0.022946272463691304,0.001359518767575721,0.4547292072328313,0.01217907253872754,0.42524815730285476,-0.08488066306531461,0.21120940786125514,1.1400676639261214,0.4606345070020609,0.24351979937157614,-0.7148195066232665
31.0,0.31,0.3922361110707248,0.021813803179603464,0.004582267349918678,0.4642963273432465,0.00971954444658976,0.4125823099016025,-0.06196849366693635,0.23127771929073676,1.1442702607605217,0.45420460473766117,0.23301860805250973,-0.7316879508589192
