nstep,msd_x,msd_y,msd_z
0.0,0.0,0.0,0.0
1.0,4.607029200009543e-05,0.0041137651410495316,0.00018211664440360008
2.0,0.0006857615877024937,0.009000326387002487,0.0026772283549636043
3.0,0.0016489714927008957,0.009476866740640005,0.009295505134240007
4.0,0.0021335826141183813,0.007302666407809628,0.015618880599270416
5.0,0.002457981058680872,0.0044760435224976336,0.02186322131710892
6.0,0.0027700168979024717,0.0021882654852099647,0.03547872862968041
7.0,0.003626610995822494,0.0007616104153441059,0.05837708821452012
8.0,0.008518632836673545,0.0004412314503601072,0.07843141914721001
9.0,0.021253094199048125,0.0009351669802500074,0.07408275261136092
10.0,0.044827551846032286,0.0008996202400688784,0.047121277769409636
11.0,0.0678015928710121,0.00017302455905439872,0.024977770018344926
12.0,0.06927289768650241,9.534936608989296e-07,0.013276724576608907
13.0,0.04886776676630241,1.3469854216897916e-05,0.006991195642756912
14.0,0.03087367025190251,7.71706027023959e-05,0.004248994270176103
15.0,0.02356085624061154,3.063478591689966e-05,0.002462658490032405
16.0,0.0244333100420963,0.00022106723698891607,0.0015853011149056038
17.0,0.025620906666702314,0.0021984189012899864,0.0011489862708900038
18.0,0.023498562963608013,0.006875398040720425,0.002266717813203606
19.0,0.018244401960985524,0.01212685488400011,0.00712048562602091
20.0,0.014188845394963614,0.014947294868356845,0.012030645666490015
21.0,0.015016757438694324,0.013358220918172854,0.008524767962308905
22.0,0.012622965162880842,0.007982146632979664,0.004010763629748109
23.0,0.006912214704472913,0.003294929906190426,0.005471691087974411
24.0,0.0025348667284515788,0.00048580039117442135,0.013730064991129614
25.0,0.0007899056396675887,0.00013746296229159852,0.02925208184976001
26.0,0.0002037793365168912,0.0007442316819721021,0.04671005885001003
27.0,5.1246985690009e-07,7.068084369609642e-05,0.06100171865726762
28.0,0.00010414263730090574,0.0036888908493375727,0.05888632163820163
29.0,0.0004433062874256055,0.007049891162776967,0.04932040584072043
30.0,0.0011371611441124158,0.0032245419035025254,0.04024021155613691
31.0,0.0016028484666481008,1.7669832602505136e-05,0.033344184295210015
32.0,0.001577307437008895,0.003237416542889932,0.022233976996784408
33.0,0.00233373049569002,0.015588853429408883,0.007505231639907607
34.0,0.002389376601562499,0.031899842471772674,3.5762592100039094e-08
35.0,0.0004828298680921138,0.03470862523230009,0.009525316901152887
36.0,0.0007999461902223938,0.02495924758620141,0.028837436496492088
37.0,0.00395895911846758,0.015090707301177612,0.04281944963653208
38.0,0.005321873204368909,0.007981887540787993,0.03872182135353209
39.0,0.003973403660803612,0.003172760219107574,0.030149408405222473
40.0,0.0024850504160783804,0.0020377947469635742,0.0269106898452484
41.0,0.0009787800074115922,0.001308062015779591,0.034171507817836885
42.0,4.843477944010235e-05,0.0005990701703280805,0.05043761372223999
43.0,0.004250268067046391,2.8978252900054464e-08,0.07642353540672486
44.0,0.01600749005890418,0.0005177927556036275,0.10637209391202247
45.0,0.028987476695268174,0.0020661015702721566,0.13194410399403203
46.0,0.0415894067297362,0.004543672641832878,0.14659776061195684
47.0,0.053789618452292035,0.00803202043197168,0.15714168092099998
48.0,0.06404986095894767,0.014578386666180058,0.16853161309704034
49.0,0.06994850669284017,0.01753026577164822,0.17815677711388836
50.0,0.07182268680600251,0.011272767509424119,0.1845959345107641
51.0,0.07062537454392269,0.003802762155571606,0.19069226956422752
52.0,0.07846151686262903,0.00046211198030412094,0.1962981051913764
53.0,0.0938658550876226,2.0672688400017247e-06,0.19354131724755602
54.0,0.13070643546890254,3.119133140639496e-05,0.1763882989940449
55.0,0.18796545509302892,9.525174408996606e-07,0.15167755713148082
56.0,0.25584661899260935,0.00044007270796810185,0.14490410639779833
57.0,0.3092861048569009,0.003659729718490072,0.15492087340801206
58.0,0.33925620344556157,0.006313289307564104,0.17737364822940002
59.0,0.35511142161830755,0.002008410217784086,0.18180786926563555
60.0,0.3619708460264172,0.0008896702114755856,0.15874679161276803
61.0,0.3629587986507844,0.013094302712515642,0.12219720634180885
62.0,0.3457027118727119,0.034569875653657454,0.0968835034993225
63.0,0.3091944717246562,0.054681000619296066,0.09890302921179037
