nrep,D_mean,D_std,D_se
1.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
2.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
3.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
4.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
5.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
6.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
7.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
8.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
9.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
10.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
11.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
12.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
13.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
14.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
15.0,1.0549250196908089,0.18722943535509914,0.04834243233667447
