nrep,#hops,D_nonhop (mean),D_nonhop (SE),D_hop,D_tot
1.0,26.0,0.6753324958592607,0.0,0.16482314113900765,0.8401556369982683
2.0,48.0,0.8221984071728365,0.10384988181497161,0.14171416166121117,0.9639125688340477
3.0,70.0,0.841564484248906,0.07101600872716568,0.13148543558823128,0.9730499198371372
4.0,104.0,0.8682800686425465,0.058070071279100265,0.15346913493373238,1.0217492035762787
5.0,131.0,0.8951060823893602,0.05228645374268229,0.15459431487914452,1.0497003972685046
6.0,150.0,0.9110629905289844,0.04594245151573796,0.1465256613898001,1.0575886519187845
7.0,162.0,0.9148626079217702,0.0395360534309519,0.13831574118550516,1.0531783491072755
8.0,175.0,0.9277303911533319,0.0366282737146859,0.13030855747823245,1.0580389486315642
9.0,189.0,0.9353857115304726,0.03334885394700433,0.1258577757586532,1.0612434872891257
10.0,211.0,0.939734226043211,0.03029615369777876,0.12645903056553512,1.0661932566087462
11.0,224.0,0.9427103004815387,0.027687746041637946,0.12162508441362672,1.0643353848951653
12.0,244.0,0.9473352044678948,0.025763805664441072,0.1214947217670386,1.0688299262349334
13.0,262.0,0.9535606988706827,0.024522597720030712,0.12058221479070338,1.074142913661386
14.0,290.0,0.959261545025763,0.02342425959379916,0.12258525062436272,1.0818467956501256
15.0,310.0,0.9627078511609803,0.02211470895216539,0.12111998803431458,1.083827839195295
