nrep,D_mean,D_std,D_se
1.0,4.064812095975497,0.0,0.0
2.0,3.847251315584666,0.21756078039083104,0.15383870313459388
3.0,2.6499592909970233,1.7025191667228095,0.9829498992079114
4.0,2.023119189566911,1.8310418272329658,0.9155209136164829
5.0,1.8383835216433848,1.6788926131453183,0.7508236019830378
6.0,1.9793349196394694,1.5646842562362275,0.6387796727241609
7.0,1.8753468494851648,1.470839833813448,0.5559252026682793
8.0,1.6996354247953303,1.4522637925000212,0.5134527878742291
9.0,1.5644591311104772,1.4215871556900863,0.47386238523002877
10.0,1.4324834918709313,1.4055522620219099,0.4444746518391018
11.0,1.3850213761208119,1.3485198410989068,0.4065940304795235
12.0,1.4718844676050757,1.3228608310407695,0.38187702845090016
13.0,1.5900736311718262,1.3352799524277632,0.37034002581364744
14.0,1.6486347292809904,1.303917021082468,0.34848648240524926
15.0,1.5635888798333362,1.2992736852282105,0.33547102300362647
