Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
1.0,0.01,0.0031520689035196914,0.0015648302256141518,0.0001919958096054226,0.0031423980354376014,0.00034072585807415763,0.0017332826740735154
2.0,0.02,0.008866849104864712,0.0032543873923147467,0.0003618464713094443,0.009354593157029929,0.0009266551683320941,0.0064192722477391835
3.0,0.03,0.01615693696975111,0.0048896956663869355,0.00030768870003522935,0.0172062470080929,0.0013457154947461851,0.012952062699467214
4.0,0.04,0.02399933350036662,0.006549099656091316,0.0013932243337173148,0.026983933516217255,0.0027493884496072323,0.02115671455788017
5.0,0.05,0.032736403443576804,0.007894510167825735,0.0021291570682957354,0.03660617891268701,0.0032736610982693408,0.029924611776790434
6.0,0.06,0.043948278295006395,0.010037397142065703,-0.0009965956673417804,0.04652967927415769,0.0015910099628111114,0.038789454154393437
7.0,0.07,0.054308514193969405,0.013069061710085627,-0.0016031561183880857,0.0560448538369836,0.0018121817170519761,0.046336787244849825
8.0,0.08,0.0650544808279294,0.014406684845181964,0.00299367381059458,0.06728811250185981,0.0032536319547149042,0.05827262596623625
9.0,0.09,0.07707297002570501,0.018082593930744552,-0.0005881361216783925,0.07780736772628044,0.00172031267575978,0.06792428354412931
10.0,0.1,0.0693312038798531,0.013478285866082237,0.006684805712954112,0.09315643722567316,0.007699842713694418,0.08117503909029297
11.0,0.11,0.078457398867002,0.01413862582152714,0.007415486680594086,0.10713233836242184,0.00597402482873145,0.0934635175891486
12.0,0.12,0.09302134481670528,0.02193641195446254,0.004689961041484513,0.1183971011158236,0.0035169453118081397,0.10516504078523872
13.0,0.13,0.10221085569381957,0.018441419845773247,0.002066476076637275,0.1386875478974435,0.004532607474777949,0.11456646158068277
14.0,0.14,0.11822814391574872,0.025663277326107233,-1.9355713044632972e-05,0.1514898135630234,0.0036154040652463825,0.133118934854624
15.0,0.15,0.13329526988798568,0.03275140867677528,0.01442176769534736,0.1799028033246806,0.0006117510198911155,0.144361479934693
16.0,0.16,0.14782032830798605,0.042451490759231804,0.0033970820120794673,0.1919140399523692,0.0025551425597954594,0.16602015046507215
17.0,0.17,0.14442037403515595,0.03610658507593242,0.01380382606606194,0.21041517677597402,0.0006906723717664811,0.17329630315045216
18.0,0.18,0.17498031008253245,0.05412796912723515,0.005388398703530098,0.2220410882496955,0.002152037149443317,0.1969850625863707
19.0,0.19,0.19242871596621666,0.053382962511838106,0.0072482717765526205,0.24959332166450987,-0.0036007291762749295,0.2170577674886109
20.0,0.2,0.17337807735874636,0.03674305917363732,0.023881384163588166,0.2340584142799951,0.00011946029282339891,0.22436299895907044
21.0,0.21,0.18445368163810277,0.05921240255968495,0.023970764511865274,0.2701102935790656,-0.0048405680872254915,0.2381493297233701
22.0,0.22,0.19294329461000265,0.054628268653494454,0.02553869715388399,0.299428863704361,-0.006764463448279014,0.25721417032546545
23.0,0.23,0.20558753855807488,0.05136845639035114,0.018502325759269158,0.3114146574785458,0.0024542994421001395,0.2689848815945045
24.0,0.24,0.22230817087254584,0.035572705679085784,0.007594390910345429,0.30172122428607595,0.00853963832783332,0.31908051929370346
25.0,0.25,0.2468217141413021,0.057765190314760025,0.026880651106335796,0.3829090226282033,-0.0068806392991527295,0.2801302550940607
26.0,0.26,0.22678453905602675,0.07496899534866522,0.011902108030371972,0.3927322397504202,0.00350256459466931,0.3098199211181147
27.0,0.27,0.25055607563635157,0.043348344234264057,0.014425739682448013,0.42139791185872305,0.00951409439148649,0.33393478426288215
28.0,0.28,0.2406104637789657,0.08536610308284431,0.030371291174574714,0.4172934822371715,-0.024669118681254137,0.36766750646909
29.0,0.29,0.30314487313088273,0.06626716812169367,0.02793911283298553,0.4615314118449787,-0.03908554606761034,0.3562586870985747
30.0,0.3,0.26859014957838273,0.08342050701852721,0.05306411034668993,0.46579763440520255,-0.0030809853263409834,0.39671255249249837
31.0,0.31,0.27749352334278365,0.08591558781881165,0.03280632588215664,0.474157931422744,-0.006731138386706186,0.42612320053666686
32.0,0.32,0.2886835330576299,0.07196824896458062,0.05358531459685434,0.45319807253879635,-0.02539691089793326,0.48485865380729704
33.0,0.33,0.29015435430926295,0.08483725070972727,0.038610736954529386,0.4184700125542595,-0.048289214065327705,0.43986103157583195
34.0,0.34,0.3238214985475795,0.0844331827513063,0.0643046055931969,0.5859012959740693,0.019247046818665747,0.4711551696808653
35.0,0.35,0.2982493318365096,0.08239695559569457,0.05221956275389416,0.5661682438382811,0.02927481326334695,0.5069365242403423
36.0,0.36,0.39127610303294585,0.1133176299303602,0.08210469510876925,0.5788267662837433,-0.01707429761218261,0.5164494717301137
37.0,0.37,0.386077985639595,0.12580490695182928,0.08709017682036226,0.59883425937004,0.029854132353431626,0.5283092921581279
38.0,0.38,0.4242574431455016,0.13304239443064708,0.08605404581784508,0.5963482198599741,-0.036441434530594424,0.5441658794056435
