MD Temperature:                      0.0009500446 H          300.0000 K
MD Temperature:                      0.0009214320 H          290.9649 K
MD Temperature:                      0.0012156886 H          383.8837 K
MD Temperature:                      0.0018881457 H          596.2285 K
MD Temperature:                      0.0026296204 H          830.3675 K
MD Temperature:                      0.0031281885 H          987.8026 K
MD Temperature:                      0.0034338160 H         1084.3120 K
MD Temperature:                      0.0037401421 H         1181.0420 K
MD Temperature:                      0.0040167151 H         1268.3768 K
MD Temperature:                      0.0041503123 H         1310.5634 K
MD Temperature:                      0.0041857015 H         1321.7384 K
MD Temperature:                      0.0042686696 H         1347.9376 K
MD Temperature:                      0.0043979707 H         1388.7676 K
MD Temperature:                      0.0044251171 H         1397.3398 K
MD Temperature:                      0.0043222364 H         1364.8527 K
MD Temperature:                      0.0042205409 H         1332.7398 K
MD Temperature:                      0.0041782094 H         1319.3726 K
MD Temperature:                      0.0040876181 H         1290.7662 K
MD Temperature:                      0.0038776942 H         1224.4775 K
MD Temperature:                      0.0036466380 H         1151.5158 K
MD Temperature:                      0.0035253628 H         1113.2202 K
MD Temperature:                      0.0034540945 H         1090.7155 K
MD Temperature:                      0.0033215343 H         1048.8563 K
MD Temperature:                      0.0031373904 H          990.7084 K
MD Temperature:                      0.0029796306 H          940.8918 K
MD Temperature:                      0.0028879135 H          911.9299 K
MD Temperature:                      0.0028216098 H          890.9928 K
MD Temperature:                      0.0027219234 H          859.5144 K
MD Temperature:                      0.0025726864 H          812.3891 K
MD Temperature:                      0.0024496855 H          773.5486 K
MD Temperature:                      0.0023978602 H          757.1835 K
MD Temperature:                      0.0023433231 H          739.9620 K
MD Temperature:                      0.0022491881 H          710.2366 K
MD Temperature:                      0.0021496447 H          678.8033 K
MD Temperature:                      0.0020938523 H          661.1855 K
MD Temperature:                      0.0020829528 H          657.7437 K
MD Temperature:                      0.0020585061 H          650.0240 K
MD Temperature:                      0.0019809129 H          625.5221 K
MD Temperature:                      0.0019112133 H          603.5127 K
MD Temperature:                      0.0018904210 H          596.9470 K
MD Temperature:                      0.0018607443 H          587.5759 K
MD Temperature:                      0.0017838363 H          563.2903 K
MD Temperature:                      0.0016907601 H          533.8992 K
MD Temperature:                      0.0016401006 H          517.9022 K
MD Temperature:                      0.0016386559 H          517.4460 K
MD Temperature:                      0.0016255077 H          513.2941 K
MD Temperature:                      0.0015682836 H          495.2242 K
MD Temperature:                      0.0015218363 H          480.5573 K
MD Temperature:                      0.0015185661 H          479.5247 K
MD Temperature:                      0.0015118923 H          477.4173 K
