MD Temperature:                      0.0008458515 H          267.0985 K
MD Temperature:                      0.0008369012 H          264.2722 K
MD Temperature:                      0.0008298303 H          262.0394 K
MD Temperature:                      0.0008172537 H          258.0680 K
MD Temperature:                      0.0008038940 H          253.8494 K
MD Temperature:                      0.0007978240 H          251.9326 K
MD Temperature:                      0.0007964613 H          251.5023 K
MD Temperature:                      0.0007905531 H          249.6366 K
MD Temperature:                      0.0007788946 H          245.9552 K
MD Temperature:                      0.0007721067 H          243.8117 K
MD Temperature:                      0.0007781442 H          245.7182 K
MD Temperature:                      0.0007894390 H          249.2848 K
MD Temperature:                      0.0007958285 H          251.3025 K
MD Temperature:                      0.0008012430 H          253.0122 K
MD Temperature:                      0.0008134040 H          256.8524 K
MD Temperature:                      0.0008286728 H          261.6739 K
MD Temperature:                      0.0008385605 H          264.7961 K
MD Temperature:                      0.0008425696 H          266.0621 K
MD Temperature:                      0.0008480672 H          267.7981 K
MD Temperature:                      0.0008609629 H          271.8703 K
MD Temperature:                      0.0008787338 H          277.4819 K
MD Temperature:                      0.0008963550 H          283.0462 K
MD Temperature:                      0.0009164902 H          289.4044 K
MD Temperature:                      0.0009433733 H          297.8934 K
MD Temperature:                      0.0009718675 H          306.8911 K
MD Temperature:                      0.0009932621 H          313.6470 K
MD Temperature:                      0.0010053885 H          317.4762 K
MD Temperature:                      0.0010124020 H          319.6909 K
MD Temperature:                      0.0010195179 H          321.9379 K
MD Temperature:                      0.0010283661 H          324.7319 K
MD Temperature:                      0.0010367188 H          327.3695 K
MD Temperature:                      0.0010444591 H          329.8137 K
MD Temperature:                      0.0010537204 H          332.7382 K
MD Temperature:                      0.0010647975 H          336.2360 K
MD Temperature:                      0.0010768613 H          340.0455 K
MD Temperature:                      0.0010860712 H          342.9538 K
MD Temperature:                      0.0010857600 H          342.8555 K
MD Temperature:                      0.0010768921 H          340.0552 K
MD Temperature:                      0.0010679300 H          337.2252 K
MD Temperature:                      0.0010613077 H          335.1341 K
MD Temperature:                      0.0010541925 H          332.8873 K
MD Temperature:                      0.0010472143 H          330.6837 K
MD Temperature:                      0.0010442682 H          329.7534 K
MD Temperature:                      0.0010471093 H          330.6506 K
MD Temperature:                      0.0010502555 H          331.6441 K
MD Temperature:                      0.0010466004 H          330.4899 K
MD Temperature:                      0.0010390955 H          328.1200 K
MD Temperature:                      0.0010345935 H          326.6984 K
MD Temperature:                      0.0010296308 H          325.1313 K
MD Temperature:                      0.0010174097 H          321.2722 K
MD Temperature:                      0.0010012409 H          316.1665 K
MD Temperature:                      0.0009901919 H          312.6775 K
MD Temperature:                      0.0009843440 H          310.8309 K
MD Temperature:                      0.0009721689 H          306.9863 K
MD Temperature:                      0.0009492858 H          299.7604 K
MD Temperature:                      0.0009285323 H          293.2070 K
MD Temperature:                      0.0009188902 H          290.1622 K
MD Temperature:                      0.0009095593 H          287.2158 K
MD Temperature:                      0.0008900681 H          281.0609 K
MD Temperature:                      0.0008686122 H          274.2857 K
MD Temperature:                      0.0008584622 H          271.0806 K
MD Temperature:                      0.0008581058 H          270.9680 K
MD Temperature:                      0.0008554767 H          270.1378 K
MD Temperature:                      0.0008489893 H          268.0893 K
MD Temperature:                      0.0008507089 H          268.6323 K
MD Temperature:                      0.0008650855 H          273.1721 K
MD Temperature:                      0.0008791113 H          277.6011 K
MD Temperature:                      0.0008819493 H          278.4972 K
MD Temperature:                      0.0008798584 H          277.8370 K
MD Temperature:                      0.0008833533 H          278.9406 K
MD Temperature:                      0.0008900916 H          281.0684 K
MD Temperature:                      0.0008902613 H          281.1220 K
MD Temperature:                      0.0008839606 H          279.1323 K
MD Temperature:                      0.0008812909 H          278.2893 K
MD Temperature:                      0.0008858354 H          279.7244 K
MD Temperature:                      0.0008899436 H          281.0216 K
MD Temperature:                      0.0008883393 H          280.5150 K
MD Temperature:                      0.0008853847 H          279.5820 K
MD Temperature:                      0.0008856739 H          279.6734 K
MD Temperature:                      0.0008865391 H          279.9466 K
MD Temperature:                      0.0008840096 H          279.1478 K
MD Temperature:                      0.0008796595 H          277.7742 K
MD Temperature:                      0.0008783011 H          277.3452 K
MD Temperature:                      0.0008823561 H          278.6257 K
MD Temperature:                      0.0008906589 H          281.2475 K
MD Temperature:                      0.0009009752 H          284.5051 K
MD Temperature:                      0.0009126905 H          288.2045 K
MD Temperature:                      0.0009261620 H          292.4585 K
MD Temperature:                      0.0009408047 H          297.0823 K
MD Temperature:                      0.0009551435 H          301.6101 K
MD Temperature:                      0.0009672413 H          305.4303 K
MD Temperature:                      0.0009762244 H          308.2669 K
MD Temperature:                      0.0009845581 H          310.8985 K
MD Temperature:                      0.0009948709 H          314.1550 K
MD Temperature:                      0.0010045792 H          317.2206 K
MD Temperature:                      0.0010100240 H          318.9400 K
MD Temperature:                      0.0010120152 H          319.5687 K
MD Temperature:                      0.0010136135 H          320.0734 K
MD Temperature:                      0.0010146682 H          320.4065 K
MD Temperature:                      0.0010104065 H          319.0608 K
MD Temperature:                      0.0009983249 H          315.2457 K
MD Temperature:                      0.0009843075 H          310.8193 K
MD Temperature:                      0.0009739690 H          307.5547 K
MD Temperature:                      0.0009631159 H          304.1276 K
MD Temperature:                      0.0009469709 H          299.0294 K
MD Temperature:                      0.0009295247 H          293.5203 K
MD Temperature:                      0.0009174744 H          289.7152 K
MD Temperature:                      0.0009102134 H          287.4223 K
MD Temperature:                      0.0009010929 H          284.5423 K
MD Temperature:                      0.0008883050 H          280.5042 K
MD Temperature:                      0.0008790307 H          277.5756 K
MD Temperature:                      0.0008778899 H          277.2154 K
MD Temperature:                      0.0008781691 H          277.3035 K
MD Temperature:                      0.0008735091 H          275.8320 K
MD Temperature:                      0.0008685836 H          274.2767 K
MD Temperature:                      0.0008708621 H          274.9962 K
MD Temperature:                      0.0008784618 H          277.3960 K
MD Temperature:                      0.0008830202 H          278.8354 K
MD Temperature:                      0.0008823270 H          278.6165 K
MD Temperature:                      0.0008837140 H          279.0545 K
MD Temperature:                      0.0008910404 H          281.3680 K
MD Temperature:                      0.0008973641 H          283.3648 K
MD Temperature:                      0.0008986486 H          283.7705 K
MD Temperature:                      0.0009011868 H          284.5719 K
MD Temperature:                      0.0009104900 H          287.5097 K
MD Temperature:                      0.0009236929 H          291.6788 K
MD Temperature:                      0.0009351710 H          295.3033 K
MD Temperature:                      0.0009442589 H          298.1730 K
MD Temperature:                      0.0009542085 H          301.3148 K
MD Temperature:                      0.0009645789 H          304.5896 K
MD Temperature:                      0.0009719859 H          306.9285 K
MD Temperature:                      0.0009786786 H          309.0419 K
MD Temperature:                      0.0009902873 H          312.7076 K
MD Temperature:                      0.0010071708 H          318.0390 K
MD Temperature:                      0.0010254702 H          323.8175 K
MD Temperature:                      0.0010434724 H          329.5021 K
MD Temperature:                      0.0010617126 H          335.2619 K
MD Temperature:                      0.0010783643 H          340.5201 K
MD Temperature:                      0.0010895181 H          344.0422 K
MD Temperature:                      0.0010955561 H          345.9489 K
MD Temperature:                      0.0011009222 H          347.6433 K
MD Temperature:                      0.0011061839 H          349.3048 K
MD Temperature:                      0.0011077682 H          349.8051 K
MD Temperature:                      0.0011040379 H          348.6272 K
MD Temperature:                      0.0010974055 H          346.5328 K
MD Temperature:                      0.0010913937 H          344.6345 K
MD Temperature:                      0.0010834684 H          342.1318 K
MD Temperature:                      0.0010686160 H          337.4418 K
MD Temperature:                      0.0010531194 H          332.5484 K
MD Temperature:                      0.0010469486 H          330.5998 K
MD Temperature:                      0.0010447244 H          329.8975 K
MD Temperature:                      0.0010353934 H          326.9510 K
MD Temperature:                      0.0010200610 H          322.1094 K
MD Temperature:                      0.0010071463 H          318.0313 K
MD Temperature:                      0.0009993381 H          315.5656 K
MD Temperature:                      0.0009898496 H          312.5694 K
MD Temperature:                      0.0009752639 H          307.9636 K
MD Temperature:                      0.0009655132 H          304.8846 K
MD Temperature:                      0.0009665900 H          305.2246 K
MD Temperature:                      0.0009650332 H          304.7330 K
MD Temperature:                      0.0009461883 H          298.7823 K
MD Temperature:                      0.0009156087 H          289.1260 K
MD Temperature:                      0.0008943629 H          282.4171 K
MD Temperature:                      0.0008911660 H          281.4076 K
MD Temperature:                      0.0008874994 H          280.2498 K
MD Temperature:                      0.0008688470 H          274.3598 K
MD Temperature:                      0.0008464783 H          267.2964 K
MD Temperature:                      0.0008345748 H          263.5376 K
MD Temperature:                      0.0008293922 H          261.9010 K
MD Temperature:                      0.0008232523 H          259.9622 K
MD Temperature:                      0.0008216971 H          259.4711 K
MD Temperature:                      0.0008309847 H          262.4039 K
MD Temperature:                      0.0008416057 H          265.7577 K
MD Temperature:                      0.0008393640 H          265.0499 K
MD Temperature:                      0.0008304419 H          262.2325 K
MD Temperature:                      0.0008378336 H          264.5666 K
MD Temperature:                      0.0008619011 H          272.1665 K
MD Temperature:                      0.0008786745 H          277.4631 K
MD Temperature:                      0.0008805248 H          278.0474 K
MD Temperature:                      0.0008817986 H          278.4497 K
MD Temperature:                      0.0008910313 H          281.3651 K
MD Temperature:                      0.0009020818 H          284.8546 K
MD Temperature:                      0.0009087708 H          286.9668 K
MD Temperature:                      0.0009115435 H          287.8423 K
MD Temperature:                      0.0009101484 H          287.4018 K
MD Temperature:                      0.0008993488 H          283.9915 K
MD Temperature:                      0.0008805890 H          278.0677 K
MD Temperature:                      0.0008706359 H          274.9248 K
MD Temperature:                      0.0008776001 H          277.1238 K
MD Temperature:                      0.0008878666 H          280.3658 K
MD Temperature:                      0.0008904302 H          281.1753 K
MD Temperature:                      0.0008902114 H          281.1062 K
MD Temperature:                      0.0008965241 H          283.0996 K
MD Temperature:                      0.0009097015 H          287.2607 K
MD Temperature:                      0.0009230072 H          291.4623 K
MD Temperature:                      0.0009327250 H          294.5309 K
MD Temperature:                      0.0009393121 H          296.6109 K
MD Temperature:                      0.0009399877 H          296.8243 K
MD Temperature:                      0.0009328355 H          294.5658 K
MD Temperature:                      0.0009294499 H          293.4967 K
MD Temperature:                      0.0009430408 H          297.7884 K
MD Temperature:                      0.0009691808 H          306.0427 K
MD Temperature:                      0.0009906653 H          312.8270 K
MD Temperature:                      0.0009953974 H          314.3213 K
MD Temperature:                      0.0009895360 H          312.4704 K
MD Temperature:                      0.0009880351 H          311.9964 K
MD Temperature:                      0.0009922769 H          313.3359 K
MD Temperature:                      0.0009903772 H          312.7360 K
MD Temperature:                      0.0009803163 H          309.5590 K
MD Temperature:                      0.0009744030 H          307.6918 K
MD Temperature:                      0.0009767221 H          308.4241 K
MD Temperature:                      0.0009770960 H          308.5421 K
MD Temperature:                      0.0009740604 H          307.5836 K
MD Temperature:                      0.0009791805 H          309.2004 K
