MD Temperature:                      0.0009500446 H          300.0000 K
MD Temperature:                      0.0008648441 H          273.0959 K
MD Temperature:                      0.0008850255 H          279.4686 K
MD Temperature:                      0.0010819440 H          341.6505 K
MD Temperature:                      0.0012538396 H          395.9307 K
MD Temperature:                      0.0012541952 H          396.0430 K
MD Temperature:                      0.0012136858 H          383.2512 K
MD Temperature:                      0.0012794765 H          404.0262 K
MD Temperature:                      0.0013937307 H          440.1048 K
MD Temperature:                      0.0014115404 H          445.7287 K
MD Temperature:                      0.0013477488 H          425.5849 K
MD Temperature:                      0.0013620162 H          430.0902 K
MD Temperature:                      0.0014526556 H          458.7118 K
MD Temperature:                      0.0014590289 H          460.7243 K
MD Temperature:                      0.0013859706 H          437.6544 K
MD Temperature:                      0.0013662938 H          431.4409 K
MD Temperature:                      0.0014270238 H          450.6179 K
MD Temperature:                      0.0014845863 H          468.7947 K
MD Temperature:                      0.0014809604 H          467.6498 K
MD Temperature:                      0.0014554346 H          459.5893 K
MD Temperature:                      0.0014632153 H          462.0463 K
MD Temperature:                      0.0014967371 H          472.6316 K
MD Temperature:                      0.0015337119 H          484.3073 K
MD Temperature:                      0.0015350217 H          484.7209 K
MD Temperature:                      0.0013835117 H          436.8779 K
MD Temperature:                      0.0012022155 H          379.6292 K
MD Temperature:                      0.0014152797 H          446.9095 K
MD Temperature:                      0.0017112587 H          540.3721 K
MD Temperature:                      0.0017220145 H          543.7685 K
MD Temperature:                      0.0015804501 H          499.0661 K
MD Temperature:                      0.0014480389 H          457.2540 K
MD Temperature:                      0.0013759894 H          434.5026 K
MD Temperature:                      0.0013549849 H          427.8699 K
MD Temperature:                      0.0013795106 H          435.6145 K
MD Temperature:                      0.0014492225 H          457.6277 K
MD Temperature:                      0.0015436534 H          487.4466 K
MD Temperature:                      0.0016071965 H          507.5119 K
MD Temperature:                      0.0015361632 H          485.0814 K
MD Temperature:                      0.0013422910 H          423.8615 K
MD Temperature:                      0.0012664802 H          399.9223 K
MD Temperature:                      0.0013201709 H          416.8765 K
MD Temperature:                      0.0012925087 H          408.1415 K
MD Temperature:                      0.0012047453 H          380.4280 K
MD Temperature:                      0.0011636829 H          367.4616 K
MD Temperature:                      0.0011724426 H          370.2277 K
MD Temperature:                      0.0011834899 H          373.7161 K
MD Temperature:                      0.0011782104 H          372.0490 K
MD Temperature:                      0.0011885272 H          375.3067 K
MD Temperature:                      0.0012399510 H          391.5451 K
MD Temperature:                      0.0012736718 H          402.1933 K
MD Temperature:                      0.0012195230 H          385.0944 K
MD Temperature:                      0.0011154911 H          352.2438 K
MD Temperature:                      0.0011041541 H          348.6639 K
MD Temperature:                      0.0011996253 H          378.8113 K
MD Temperature:                      0.0012353280 H          390.0853 K
MD Temperature:                      0.0011886721 H          375.3525 K
MD Temperature:                      0.0011652964 H          367.9711 K
MD Temperature:                      0.0011754520 H          371.1779 K
MD Temperature:                      0.0011598721 H          366.2582 K
MD Temperature:                      0.0011215373 H          354.1530 K
MD Temperature:                      0.0010999247 H          347.3283 K
MD Temperature:                      0.0010750714 H          339.4803 K
MD Temperature:                      0.0010047411 H          317.2718 K
MD Temperature:                      0.0009340347 H          294.9445 K
MD Temperature:                      0.0009296966 H          293.5746 K
MD Temperature:                      0.0009638983 H          304.3747 K
MD Temperature:                      0.0009660588 H          305.0569 K
MD Temperature:                      0.0009197316 H          290.4279 K
MD Temperature:                      0.0008699144 H          274.6969 K
MD Temperature:                      0.0008600558 H          271.5838 K
MD Temperature:                      0.0008904766 H          281.1899 K
MD Temperature:                      0.0009254032 H          292.2189 K
MD Temperature:                      0.0009276545 H          292.9298 K
MD Temperature:                      0.0008869698 H          280.0826 K
MD Temperature:                      0.0008229238 H          259.8585 K
MD Temperature:                      0.0007711886 H          243.5218 K
MD Temperature:                      0.0007471864 H          235.9425 K
MD Temperature:                      0.0007307493 H          230.7521 K
MD Temperature:                      0.0007025374 H          221.8435 K
MD Temperature:                      0.0006703043 H          211.6651 K
MD Temperature:                      0.0006620764 H          209.0669 K
MD Temperature:                      0.0006794845 H          214.5640 K
MD Temperature:                      0.0006790401 H          214.4237 K
MD Temperature:                      0.0006370628 H          201.1683 K
MD Temperature:                      0.0005821308 H          183.8221 K
MD Temperature:                      0.0005616018 H          177.3396 K
MD Temperature:                      0.0005819383 H          183.7614 K
MD Temperature:                      0.0006146020 H          194.0757 K
MD Temperature:                      0.0006537614 H          206.4413 K
MD Temperature:                      0.0007081258 H          223.6082 K
MD Temperature:                      0.0007771016 H          245.3890 K
MD Temperature:                      0.0008674372 H          273.9147 K
MD Temperature:                      0.0009837653 H          310.6481 K
MD Temperature:                      0.0010773624 H          340.2037 K
MD Temperature:                      0.0010893352 H          343.9845 K
MD Temperature:                      0.0010443114 H          329.7671 K
MD Temperature:                      0.0010045517 H          317.2120 K
MD Temperature:                      0.0009820301 H          310.1002 K
MD Temperature:                      0.0009551932 H          301.6258 K
MD Temperature:                      0.0009291326 H          293.3965 K
MD Temperature:                      0.0009597902 H          303.0774 K
MD Temperature:                      0.0010680225 H          337.2544 K
MD Temperature:                      0.0011657107 H          368.1019 K
MD Temperature:                      0.0011666771 H          368.4070 K
MD Temperature:                      0.0011020078 H          347.9861 K
MD Temperature:                      0.0010509702 H          331.8698 K
MD Temperature:                      0.0010294460 H          325.0730 K
MD Temperature:                      0.0010042315 H          317.1108 K
MD Temperature:                      0.0009734772 H          307.3994 K
MD Temperature:                      0.0009789794 H          309.1369 K
MD Temperature:                      0.0010271400 H          324.3448 K
MD Temperature:                      0.0010686841 H          337.4633 K
MD Temperature:                      0.0010768894 H          340.0544 K
MD Temperature:                      0.0010721379 H          338.5540 K
MD Temperature:                      0.0010732096 H          338.8924 K
MD Temperature:                      0.0010689580 H          337.5498 K
MD Temperature:                      0.0010436388 H          329.5547 K
MD Temperature:                      0.0010115898 H          319.4344 K
MD Temperature:                      0.0010054253 H          317.4878 K
MD Temperature:                      0.0010270440 H          324.3145 K
MD Temperature:                      0.0010496168 H          331.4424 K
MD Temperature:                      0.0010626549 H          335.5595 K
MD Temperature:                      0.0010763980 H          339.8992 K
MD Temperature:                      0.0010988434 H          346.9869 K
MD Temperature:                      0.0011270486 H          355.8934 K
MD Temperature:                      0.0011485853 H          362.6941 K
MD Temperature:                      0.0011596758 H          366.1962 K
MD Temperature:                      0.0011716938 H          369.9912 K
MD Temperature:                      0.0011867208 H          374.7364 K
MD Temperature:                      0.0011920621 H          376.4230 K
MD Temperature:                      0.0011853458 H          374.3022 K
MD Temperature:                      0.0011774048 H          371.7946 K
MD Temperature:                      0.0011693950 H          369.2653 K
MD Temperature:                      0.0011502550 H          363.2214 K
MD Temperature:                      0.0011127994 H          351.3938 K
MD Temperature:                      0.0010697757 H          337.8080 K
MD Temperature:                      0.0010444780 H          329.8197 K
MD Temperature:                      0.0010423433 H          329.1456 K
MD Temperature:                      0.0010472999 H          330.7107 K
MD Temperature:                      0.0010450404 H          329.9973 K
MD Temperature:                      0.0010408703 H          328.6804 K
MD Temperature:                      0.0010483087 H          331.0293 K
MD Temperature:                      0.0010611305 H          335.0781 K
MD Temperature:                      0.0010540741 H          332.8499 K
MD Temperature:                      0.0010206923 H          322.3087 K
MD Temperature:                      0.0009876385 H          311.8712 K
MD Temperature:                      0.0009720890 H          306.9611 K
MD Temperature:                      0.0009543233 H          301.3511 K
MD Temperature:                      0.0009205139 H          290.6750 K
MD Temperature:                      0.0008975992 H          283.4391 K
MD Temperature:                      0.0009162798 H          289.3379 K
MD Temperature:                      0.0009630917 H          304.1199 K
MD Temperature:                      0.0009967600 H          314.7515 K
MD Temperature:                      0.0010036544 H          316.9286 K
MD Temperature:                      0.0010092490 H          318.6952 K
MD Temperature:                      0.0010254432 H          323.8090 K
MD Temperature:                      0.0010263688 H          324.1013 K
MD Temperature:                      0.0009992943 H          315.5518 K
MD Temperature:                      0.0009727053 H          307.1557 K
MD Temperature:                      0.0009707707 H          306.5448 K
MD Temperature:                      0.0009772935 H          308.6045 K
MD Temperature:                      0.0009761674 H          308.2489 K
MD Temperature:                      0.0009852362 H          311.1126 K
MD Temperature:                      0.0010175870 H          321.3282 K
MD Temperature:                      0.0010443326 H          329.7737 K
MD Temperature:                      0.0010310219 H          325.5706 K
MD Temperature:                      0.0009894654 H          312.4481 K
MD Temperature:                      0.0009504345 H          300.1231 K
MD Temperature:                      0.0009124126 H          288.1168 K
MD Temperature:                      0.0008554252 H          270.1216 K
MD Temperature:                      0.0007995277 H          252.4706 K
MD Temperature:                      0.0007873845 H          248.6361 K
MD Temperature:                      0.0008114982 H          256.2506 K
