MD Temperature:                      0.0009500446 H          300.0000 K
MD Temperature:                      0.0009147986 H          288.8702 K
MD Temperature:                      0.0009999253 H          315.7511 K
MD Temperature:                      0.0013142933 H          415.0205 K
MD Temperature:                      0.0016785036 H          530.0289 K
MD Temperature:                      0.0019062749 H          601.9533 K
MD Temperature:                      0.0020241077 H          639.1619 K
MD Temperature:                      0.0021838745 H          689.6122 K
MD Temperature:                      0.0023960325 H          756.6063 K
MD Temperature:                      0.0024895487 H          786.1364 K
MD Temperature:                      0.0024547169 H          775.1374 K
MD Temperature:                      0.0024843168 H          784.4843 K
MD Temperature:                      0.0025901289 H          817.8971 K
MD Temperature:                      0.0026239266 H          828.5695 K
MD Temperature:                      0.0025696169 H          811.4199 K
MD Temperature:                      0.0025219514 H          796.3683 K
MD Temperature:                      0.0025293672 H          798.7100 K
MD Temperature:                      0.0025341502 H          800.2204 K
MD Temperature:                      0.0024876138 H          785.5254 K
MD Temperature:                      0.0024432222 H          771.5076 K
MD Temperature:                      0.0024535987 H          774.7843 K
MD Temperature:                      0.0024419698 H          771.1121 K
MD Temperature:                      0.0023525745 H          742.8834 K
MD Temperature:                      0.0022469640 H          709.5343 K
MD Temperature:                      0.0021768738 H          687.4016 K
MD Temperature:                      0.0021231841 H          670.4477 K
MD Temperature:                      0.0020621532 H          651.1757 K
MD Temperature:                      0.0020100993 H          634.7384 K
MD Temperature:                      0.0019949194 H          629.9450 K
MD Temperature:                      0.0019730320 H          623.0335 K
MD Temperature:                      0.0018795526 H          593.5151 K
MD Temperature:                      0.0017783326 H          561.5523 K
MD Temperature:                      0.0017415173 H          549.9270 K
MD Temperature:                      0.0017129711 H          540.9128 K
MD Temperature:                      0.0016352891 H          516.3829 K
MD Temperature:                      0.0015505172 H          489.6140 K
MD Temperature:                      0.0015198083 H          479.9169 K
MD Temperature:                      0.0015261775 H          481.9282 K
MD Temperature:                      0.0014956015 H          472.2730 K
MD Temperature:                      0.0014457374 H          456.5272 K
MD Temperature:                      0.0014560499 H          459.7836 K
MD Temperature:                      0.0014951258 H          472.1228 K
MD Temperature:                      0.0014867456 H          469.4766 K
MD Temperature:                      0.0014448846 H          456.2579 K
MD Temperature:                      0.0014290286 H          451.2510 K
MD Temperature:                      0.0014536704 H          459.0323 K
MD Temperature:                      0.0014693393 H          463.9801 K
MD Temperature:                      0.0014225584 H          449.2079 K
MD Temperature:                      0.0013585635 H          428.9999 K
MD Temperature:                      0.0013580326 H          428.8323 K
MD Temperature:                      0.0013793917 H          435.5769 K
MD Temperature:                      0.0013523842 H          427.0486 K
MD Temperature:                      0.0013043377 H          411.8768 K
MD Temperature:                      0.0012837047 H          405.3614 K
MD Temperature:                      0.0012886534 H          406.9241 K
MD Temperature:                      0.0012798953 H          404.1585 K
MD Temperature:                      0.0012409898 H          391.8731 K
MD Temperature:                      0.0012055441 H          380.6803 K
MD Temperature:                      0.0011957981 H          377.6027 K
MD Temperature:                      0.0011818548 H          373.1998 K
MD Temperature:                      0.0011460889 H          361.9058 K
MD Temperature:                      0.0011078757 H          349.8391 K
MD Temperature:                      0.0010804767 H          341.1872 K
MD Temperature:                      0.0010631329 H          335.7104 K
MD Temperature:                      0.0010483755 H          331.0504 K
MD Temperature:                      0.0010333690 H          326.3117 K
MD Temperature:                      0.0010217838 H          322.6534 K
MD Temperature:                      0.0010084312 H          318.4370 K
