nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,0.4536319500000001,6.17928357,3.9684621300000003,7.357854243036953,1.4617342999999998,5.59885408,2.1036671,6.15704876061182,11.521117499999999,5.6408968999999995,1.94696281,12.974842213636315,9.60575125,6.13724075,4.12516642,12.122424637548082
1,0.5088927499999998,6.20497791,4.00255841,7.4014320587337865,1.4478233399999993,5.495501399999999,2.1618206,6.080312193287041,11.55901795,5.6938502,2.05715303,13.048475185143298,9.60230186,6.0066291099999995,4.10722598,12.047950013444023
2,0.5050601099999996,6.16735992,3.9711836,7.352667086332998,1.4538831000000005,5.55278523,2.18000371,6.140001307376532,11.55759281,5.72412499,2.08650607,13.065108726797991,9.5986496,5.99602016,4.06468124,12.025305213819502
3,0.44778253999999995,6.098506980000001,3.86209252,7.232430796162348,1.4516890199999999,5.61945017,2.16550301,6.1947578249856265,11.53178026,5.6743368400000005,2.0136250799999997,13.009025347869525,9.6323087,6.0436203100000006,4.01397045,12.058966627245196
4,0.42016557,6.15512456,3.7888618700000003,7.23999804732491,1.46421301,5.57848189,2.07818027,6.130433359096933,11.55742043,5.6761238,1.9277505300000002,13.019545709993999,9.67304185,6.05748265,3.93929161,12.073891380806721
5,0.4483714499999998,6.25767086,3.7509693100000003,7.309531607006712,1.5638703999999999,5.53680525,2.0684470900000003,6.113949326626218,11.65872233,5.68331815,1.8505254100000001,13.101540209273706,9.646480480000001,6.11115796,3.9688909900000002,12.089372727879459
6,0.5020253100000005,6.21698563,3.7577668600000003,7.281740966940624,1.6318601600000004,5.515097969999999,2.0712734399999997,6.113055444190145,11.82403571,5.57806543,1.8190561200000002,13.199681798453543,9.69015024,6.15401817,4.00998418,12.159396548937469
7,0.46101699000000007,6.207487329999999,3.77657357,7.280655433874187,1.6896203299999994,5.562678549999999,2.05802014,6.167143293845622,11.93608876,5.539700379999999,1.83019703,13.28563571513954,9.78545144,6.230465499999999,4.00439668,12.272283935848426
8,0.3546005499999998,6.23780476,3.7528825,7.2883521342444215,1.73485098,5.52621509,2.0937043799999997,6.158925163904969,11.96734561,5.56653744,1.84135559,13.326450781394582,9.87789408,6.19748241,4.005231289999999,12.329779290983012
9,0.34162106999999997,6.26653462,3.76198507,7.317013924138002,1.7118365499999992,5.46567473,2.05547798,6.085143741469166,12.06013068,5.60504585,1.8913394300000002,13.432812655536896,10.00667306,6.1271635,3.9261236200000003,12.372957809876501
10,0.30628239000000024,6.281135310000001,3.74686679,7.320210408653416,1.7432561700000004,5.50185164,2.05656906,6.126890715637341,12.107176280000001,5.614453780000001,1.92310732,13.48347694354051,10.057637719999999,6.16853317,3.88032853,12.420299009157912
11,0.22813740000000005,6.25873143,3.67974584,7.263903580936762,1.7480984900000003,5.5184349600000004,2.12620598,6.166824515735651,12.09599998,5.59096526,1.9234772400000002,13.463724326778415,10.11976409,6.186201130000001,3.8824745800000002,12.480076863642026
12,0.1864514599999998,6.308144179999999,3.64689157,7.288845262861674,1.7292710299999996,5.443622339999999,2.16978695,6.1099409067628985,12.106329429999999,5.629918569999999,1.9795763000000002,13.497330021157392,10.19060694,6.121847949999999,3.8371022200000002,12.491951231702128
13,0.2053134000000001,6.3492137500000005,3.64584305,7.324400342734,1.7947903199999988,5.32672169,2.23012258,6.047204558910507,12.18382473,5.6336711699999995,2.06337337,13.580918436065872,10.18372101,6.04226427,3.81259226,12.43997551681859
14,0.2141431800000002,6.34292749,3.65306965,7.322807133380568,1.8176578499999998,5.279108040000001,2.2389329,6.01545362282527,12.26948314,5.58089965,2.1027804000000003,13.64215315984755,10.23768211,6.041135880000001,3.78922215,12.47652444425482
15,0.14611114000000036,6.386980100000001,3.66272251,7.36412923897244,0.7232760099999993,4.08424399,3.99878733,5.761464854276312,11.162125249999999,4.370428850000001,3.9748191999999998,12.629048899354556,10.292738100000001,6.10079524,3.68669064,12.520057828567003
16,0.0051657299999998685,6.46076898,3.6484498100000002,7.419753938897551,0.69405144,3.9592729700000002,4.01715152,5.682873937276544,11.05853216,4.37920051,3.99898389,12.548322708355013,10.369646450000001,6.04084144,3.66661744,12.548522472886242
17,0.05991617999999965,6.5926775200000005,3.6539598,7.53779868737254,0.6806940300000006,3.9068378,4.04322292,5.663424541635547,11.031541390000001,4.45121358,4.03770198,12.562294577558491,10.41076354,6.04830174,3.65948074,12.58402760289055
18,0.07975983999999992,6.661770430000001,3.6870379599999996,7.614446520436018,0.7146716799999995,4.01294463,4.10676435,5.786189907017464,11.0396802,4.49090445,4.1313331699999996,12.61390801690119,10.40476836,6.18381061,3.66246914,12.645647412728934
19,0.16445891,6.629579749999999,3.60860664,7.549862003834277,0.7545991399999998,4.093772459999999,4.23158156,5.935880331953738,11.015558299999999,4.603602469999999,4.1443028900000005,12.637678853592986,10.42541807,6.25259024,3.69588531,12.706053473376365
20,0.18423751,6.52177818,3.46563109,7.387701465353734,0.8387940499999997,4.19241315,4.16912935,5.971728645512934,11.07525761,4.78234629,4.06886506,12.73137188372991,10.42070107,6.28028868,3.56589538,12.678668958354447
21,0.10574518,6.504899039999999,3.4283738,7.353818088327491,0.9455717799999999,4.29527807,4.1251600999999996,6.02996397504888,11.236937430000001,4.8889507299999995,4.0532321,12.907334833441526,10.39711083,6.2934283,3.5003018,12.64750038820428
22,0.14577945000000003,6.575361489999999,3.41204945,7.409366492586435,1.03800342,4.37092331,4.15119958,6.1167703598243115,11.27570698,4.87055199,4.04357972,12.931139993755732,10.38348301,6.31700983,3.51966931,12.653434500681275
23,0.30624373000000027,6.586767979999999,3.4194310299999997,7.42777262801201,1.1180547399999998,4.41407152,4.17299286,6.176402123803352,11.21550946,4.88507478,4.05595176,12.888070171014302,10.40369845,6.33422876,3.53647213,12.683297305859004
